Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,40.349998,40.349998,37.5,38.25,38.25,5350.0
2016-01-14,38.450001,40.549999,38.450001,40.5,40.5,130.0
2016-01-15,39.0,39.0,38.700001,38.700001,38.700001,850.0
2016-01-18,38.700001,38.799999,36.099998,36.25,36.25,365.0
2016-01-19,36.5,39.849998,36.5,39.700001,39.700001,329.0
2016-01-20,39.0,39.0,36.0,36.349998,36.349998,501.0
2016-01-21,35.25,37.900002,35.25,36.799999,36.799999,44.0
2016-01-22,40.0,41.0,37.0,38.5,38.5,204.0
2016-01-25,39.599998,39.599998,39.599998,39.599998,39.599998,11.0
2016-01-27,39.599998,39.599998,39.599998,39.599998,39.599998,0.0
2016-01-28,40.0,43.849998,37.0,39.450001,39.450001,2855.0
2016-01-29,37.400002,39.5,37.400002,39.5,39.5,179.0
2016-02-01,37.25,39.5,36.299999,37.25,37.25,6877.0
2016-02-02,35.599998,38.099998,35.599998,38.099998,38.099998,167.0
2016-02-03,36.0,37.5,34.25,35.799999,35.799999,1156.0
2016-02-04,36.099998,38.0,35.25,37.0,37.0,162.0
2016-02-05,37.0,37.5,37.0,37.5,37.5,100.0
2016-02-08,37.400002,37.400002,36.549999,36.900002,36.900002,348.0
2016-02-09,35.700001,37.0,35.700001,37.0,37.0,661.0
2016-02-10,36.599998,36.599998,35.599998,35.650002,35.650002,728.0
2016-02-11,34.0,37.900002,34.0,36.700001,36.700001,112.0
2016-02-12,32.599998,35.799999,30.1,33.900002,33.900002,144.0
2016-02-15,34.549999,36.5,34.549999,35.099998,35.099998,281.0
2016-02-16,35.099998,35.099998,35.099998,35.099998,35.099998,301.0
2016-02-17,32.700001,35.900002,31.4,32.450001,32.450001,220.0
2016-02-18,37.0,37.0,33.25,36.599998,36.599998,790.0
2016-02-19,33.700001,38.549999,33.549999,36.450001,36.450001,2995.0
2016-02-22,37.0,37.900002,36.0,36.849998,36.849998,40.0
2016-02-23,36.5,36.5,32.25,33.75,33.75,1138.0
2016-02-24,34.0,37.900002,30.6,36.900002,36.900002,1784.0
2016-02-25,35.0,36.400002,34.200001,34.950001,34.950001,116.0
2016-02-26,36.299999,36.400002,33.349998,34.0,34.0,308.0
2016-02-29,38.400002,38.400002,31.450001,33.099998,33.099998,267.0
2016-03-01,32.0,36.0,32.0,35.299999,35.299999,223.0
2016-03-02,34.099998,36.0,34.0,34.099998,34.099998,413.0
2016-03-03,34.25,36.0,34.25,36.0,36.0,271.0
2016-03-04,36.0,38.5,36.0,37.950001,37.950001,2037.0
2016-03-08,37.950001,37.950001,37.5,37.5,37.5,50.0
2016-03-09,37.700001,37.700001,37.700001,37.700001,37.700001,50.0
2016-03-10,36.0,39.799999,35.599998,38.950001,38.950001,1178.0
2016-03-11,36.0,38.900002,35.849998,37.099998,37.099998,407.0
2016-03-14,37.099998,38.0,37.099998,37.549999,37.549999,152.0
2016-03-15,41.0,41.0,37.5,37.599998,37.599998,21.0
2016-03-16,39.900002,40.0,37.299999,37.549999,37.549999,101.0
2016-03-17,44.700001,44.700001,36.0,38.549999,38.549999,3117.0
2016-03-18,41.849998,41.849998,38.099998,39.900002,39.900002,431.0
2016-03-21,42.450001,42.450001,38.0,38.049999,38.049999,964.0
2016-03-22,40.900002,40.900002,39.0,40.299999,40.299999,225.0
2016-03-23,41.900002,41.900002,38.200001,38.849998,38.849998,569.0
2016-03-28,38.849998,40.5,38.150002,40.200001,40.200001,283.0
2016-03-29,40.450001,43.400002,37.349998,40.900002,40.900002,1311.0
2016-03-30,39.0,45.0,37.5,41.349998,41.349998,3794.0
2016-03-31,40.0,42.5,40.0,41.349998,41.349998,470.0
2016-04-01,40.049999,42.950001,39.0,40.049999,40.049999,722.0
2016-04-04,40.049999,41.0,39.049999,39.049999,39.049999,256.0
2016-04-05,39.049999,39.900002,38.700001,39.900002,39.900002,210.0
2016-04-06,39.900002,39.900002,38.400002,38.900002,38.900002,389.0
2016-04-07,39.0,41.700001,36.0,37.900002,37.900002,1686.0
2016-04-08,39.5,39.5,39.0,39.0,39.0,60.0
