Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,38.200001,39.200001,38.200001,38.799999,38.799999,13141.0
2015-01-02,40.0,46.549999,36.049999,46.150002,46.150002,262459.0
2015-01-05,46.599998,52.5,44.599998,49.650002,49.650002,366928.0
2015-01-06,49.0,53.0,44.5,50.650002,50.650002,322286.0
2015-01-07,53.0,56.5,51.099998,52.650002,52.650002,712958.0
2015-01-08,53.0,54.200001,51.5,51.950001,51.950001,119620.0
2015-01-09,51.950001,53.900002,46.549999,49.75,49.75,80464.0
2015-01-12,53.900002,53.900002,48.0,50.150002,50.150002,34493.0
2015-01-13,50.799999,52.75,48.150002,48.75,48.75,26332.0
2015-01-14,48.900002,51.0,47.299999,48.200001,48.200001,37814.0
2015-01-15,48.700001,49.650002,47.0,47.450001,47.450001,24105.0
2015-01-16,47.400002,47.75,45.650002,46.299999,46.299999,30753.0
2015-01-19,46.0,49.599998,46.0,49.299999,49.299999,43668.0
2015-01-20,51.0,51.0,49.099998,49.700001,49.700001,43447.0
2015-01-21,50.900002,51.75,48.099998,48.299999,48.299999,10051.0
2015-01-22,50.650002,50.650002,48.049999,48.150002,48.150002,10852.0
2015-01-23,49.900002,50.0,46.299999,46.799999,46.799999,19920.0
2015-01-27,46.799999,48.5,45.400002,46.299999,46.299999,13492.0
2015-01-28,46.099998,47.5,44.599998,45.0,45.0,12841.0
2015-01-29,44.799999,46.0,44.75,45.099998,45.099998,19961.0
2015-01-30,46.0,46.0,42.200001,43.200001,43.200001,15950.0
2015-02-02,43.0,44.700001,41.75,44.25,44.25,12017.0
2015-02-03,44.0,46.0,43.400002,44.150002,44.150002,7558.0
2015-02-04,44.150002,45.849998,42.900002,43.75,43.75,7050.0
2015-02-05,43.299999,45.5,42.0,42.400002,42.400002,27042.0
2015-02-06,42.200001,44.0,41.299999,42.599998,42.599998,11733.0
2015-02-09,42.200001,42.549999,40.0,41.799999,41.799999,12943.0
2015-02-10,42.0,42.799999,40.5,41.5,41.5,6309.0
2015-02-11,42.0,42.900002,40.549999,41.400002,41.400002,11976.0
2015-02-12,42.0,42.900002,40.099998,41.599998,41.599998,9391.0
2015-02-13,38.950001,38.950001,35.799999,37.0,37.0,100368.0
2015-02-16,36.5,37.799999,35.549999,35.75,35.75,22772.0
2015-02-18,35.75,36.900002,35.0,35.049999,35.049999,23302.0
2015-02-19,35.099998,38.400002,35.099998,37.450001,37.450001,17790.0
2015-02-20,37.25,37.599998,36.150002,36.799999,36.799999,13490.0
2015-02-23,36.349998,37.799999,36.349998,36.849998,36.849998,7580.0
2015-02-24,36.5,39.25,35.0,35.700001,35.700001,10867.0
2015-02-25,35.5,36.549999,34.400002,34.799999,34.799999,15907.0
2015-02-26,35.5,38.0,35.200001,35.700001,35.700001,5413.0
2015-02-27,35.5,36.0,35.0,35.099998,35.099998,4790.0
2015-02-28,,,,,,
2015-03-02,34.599998,36.0,34.0,34.599998,34.599998,12308.0
2015-03-03,34.099998,36.0,34.0,34.25,34.25,12151.0
2015-03-04,34.0,36.25,33.849998,35.599998,35.599998,10966.0
2015-03-05,38.099998,38.099998,34.0,34.900002,34.900002,8544.0
2015-03-09,34.900002,36.900002,34.650002,36.349998,36.349998,11843.0
2015-03-10,36.349998,37.400002,36.049999,36.349998,36.349998,11646.0
2015-03-11,36.0,36.799999,35.0,35.150002,35.150002,13772.0
2015-03-12,35.5,36.5,34.450001,35.599998,35.599998,5165.0
2015-03-13,38.599998,38.75,34.849998,35.0,35.0,10040.0
2015-03-16,34.849998,34.849998,33.099998,33.700001,33.700001,10823.0
2015-03-17,34.0,35.5,33.900002,33.900002,33.900002,8124.0
2015-03-18,35.0,35.0,33.150002,34.049999,34.049999,6427.0
2015-03-19,33.200001,34.25,33.200001,33.450001,33.450001,9363.0
2015-03-20,33.0,33.900002,31.200001,32.0,32.0,6257.0
2015-03-23,31.799999,32.200001,29.35,30.15,30.15,8731.0
2015-03-24,29.799999,30.0,29.0,29.25,29.25,9756.0
2015-03-25,29.0,30.700001,26.700001,27.049999,27.049999,28225.0
2015-03-26,27.75,27.75,26.5,26.75,26.75,7062.0
2015-03-27,27.75,27.75,25.299999,27.25,27.25,7701.0
2015-03-30,27.0,31.299999,26.25,27.950001,27.950001,16052.0
2015-03-31,27.75,28.75,27.1,27.200001,27.200001,12087.0
2015-04-01,27.700001,29.299999,27.25,28.85,28.85,10060.0
2015-04-06,28.85,34.599998,27.950001,34.599998,34.599998,44969.0
2015-04-07,38.0,40.650002,37.849998,38.549999,38.549999,88581.0
2015-04-08,38.099998,39.349998,36.599998,37.25,37.25,18377.0
2015-04-09,37.200001,37.200001,36.0,36.650002,36.650002,11338.0
2015-04-10,38.0,39.900002,36.099998,37.450001,37.450001,9720.0
2015-04-13,36.5,38.25,36.150002,37.0,37.0,7991.0
2015-04-15,37.0,37.049999,34.650002,35.049999,35.049999,34590.0
2015-04-16,34.0,34.799999,33.700001,33.950001,33.950001,5397.0
2015-04-17,33.549999,33.549999,31.0,31.299999,31.299999,23702.0
2015-04-20,32.0,32.900002,30.200001,30.4,30.4,9098.0
2015-04-21,30.0,32.299999,30.0,30.6,30.6,7515.0
2015-04-22,30.6,33.650002,30.6,33.25,33.25,9234.0
2015-04-23,32.5,34.0,31.1,33.150002,33.150002,13768.0
2015-04-24,33.0,35.0,31.25,33.0,33.0,7319.0
2015-04-27,32.5,33.0,30.6,30.950001,30.950001,10052.0
2015-04-28,30.5,30.5,28.75,30.200001,30.200001,9633.0
2015-04-29,29.700001,30.9,29.0,29.799999,29.799999,1569.0
2015-04-30,30.200001,30.25,30.1,30.200001,30.200001,1760.0
2015-05-04,30.200001,31.0,27.799999,29.85,29.85,17692.0
2015-05-05,30.65,35.799999,30.0,35.799999,35.799999,267845.0
2015-05-06,36.900002,38.0,31.1,31.549999,31.549999,181026.0
2015-05-07,32.400002,32.5,29.1,30.299999,30.299999,23348.0
2015-05-08,31.85,33.25,30.25,32.200001,32.200001,30068.0
2015-05-11,32.0,33.0,31.0,31.700001,31.700001,8584.0
2015-05-12,31.049999,31.299999,30.1,30.200001,30.200001,9318.0
2015-05-13,30.35,31.0,30.200001,30.549999,30.549999,10079.0
2015-05-14,30.549999,31.450001,30.200001,31.0,31.0,4814.0
2015-05-15,31.0,31.75,30.6,30.799999,30.799999,5894.0
2015-05-18,30.6,31.950001,30.25,30.5,30.5,5436.0
2015-05-19,30.35,31.299999,30.299999,30.65,30.65,7507.0
2015-05-20,30.450001,31.5,30.4,30.6,30.6,4454.0
2015-05-21,30.700001,30.85,30.15,30.200001,30.200001,6159.0
2015-05-22,30.25,33.0,30.25,30.549999,30.549999,10034.0
2015-05-25,31.4,31.450001,30.549999,30.75,30.75,4546.0
2015-05-26,30.65,30.799999,30.15,30.25,30.25,6883.0
2015-05-27,30.0,30.5,30.0,30.200001,30.200001,7245.0
2015-05-28,29.950001,30.5,29.65,30.15,30.15,10937.0
2015-05-29,30.5,30.5,28.200001,28.75,28.75,21605.0
2015-06-01,28.75,29.799999,28.5,28.950001,28.950001,9003.0
2015-06-02,29.799999,29.799999,28.25,28.700001,28.700001,9220.0
2015-06-03,29.6,29.6,26.65,26.950001,26.950001,14521.0
2015-06-04,27.450001,28.4,26.799999,27.700001,27.700001,4875.0
2015-06-05,27.950001,27.950001,27.049999,27.299999,27.299999,2488.0
2015-06-08,26.4,27.700001,26.4,26.75,26.75,4054.0
2015-06-09,27.0,29.6,26.75,27.35,27.35,3762.0
2015-06-10,26.200001,28.0,26.200001,27.0,27.0,2775.0
2015-06-11,28.0,28.0,26.0,26.25,26.25,13530.0
