Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,3.45,3.85,3.4,3.75,3.75,21995.0
2015-01-02,3.7,4.25,3.45,4.2,4.2,85962.0
2015-01-05,4.3,4.3,3.85,4.1,4.1,28372.0
2015-01-06,3.8,4.35,3.8,4.0,4.0,32103.0
2015-01-07,4.0,4.1,3.9,3.95,3.95,20214.0
2015-01-08,3.85,4.15,3.85,3.95,3.95,69264.0
2015-01-09,4.0,4.3,4.0,4.05,4.05,26556.0
2015-01-12,4.2,4.55,3.95,4.3,4.3,212517.0
2015-01-13,4.0,4.5,3.9,4.3,4.3,3982.0
2015-01-14,4.5,4.5,4.05,4.2,4.2,30011.0
2015-01-15,4.6,4.6,4.1,4.15,4.15,8740.0
2015-01-16,4.5,4.5,4.1,4.4,4.4,11750.0
2015-01-19,4.25,4.4,4.2,4.3,4.3,7130.0
2015-01-20,4.2,4.5,4.1,4.2,4.2,40811.0
2015-01-21,4.2,4.3,4.1,4.15,4.15,8300.0
2015-01-22,4.05,4.4,4.05,4.25,4.25,8946.0
2015-01-23,4.0,4.1,3.9,4.0,4.0,36381.0
2015-01-27,4.0,4.1,4.0,4.1,4.1,21322.0
2015-01-28,4.2,4.2,4.0,4.1,4.1,30699.0
2015-01-29,3.85,4.25,3.8,4.2,4.2,20770.0
2015-01-30,4.35,4.35,3.85,4.1,4.1,25960.0
2015-02-02,3.9,4.1,3.3,3.65,3.65,46531.0
2015-02-03,3.75,4.25,3.65,4.05,4.05,40664.0
2015-02-04,3.8,4.0,3.8,3.85,3.85,6726.0
2015-02-05,3.5,3.95,3.5,3.9,3.9,7046.0
2015-02-06,3.8,3.9,3.6,3.6,3.6,15380.0
2015-02-09,3.55,3.9,3.55,3.8,3.8,20590.0
2015-02-10,3.6,4.0,3.05,3.6,3.6,17459.0
2015-02-11,3.85,3.85,3.35,3.65,3.65,63557.0
2015-02-12,3.65,3.7,3.45,3.5,3.5,1998.0
2015-02-13,3.55,3.55,3.5,3.5,3.5,4500.0
2015-02-16,3.35,3.35,3.0,3.2,3.2,64239.0
2015-02-18,3.2,3.4,3.2,3.35,3.35,28757.0
2015-02-19,3.45,3.5,3.4,3.45,3.45,24266.0
2015-02-20,3.15,3.45,3.1,3.3,3.3,19114.0
2015-02-23,3.65,3.65,3.15,3.3,3.3,19145.0
2015-02-24,3.15,3.45,3.15,3.25,3.25,13112.0
2015-02-25,3.3,3.45,2.6,3.1,3.1,82569.0
2015-02-26,3.0,3.3,3.0,3.05,3.05,50295.0
2015-02-27,3.0,3.15,2.9,3.05,3.05,53033.0
2015-02-28,,,,,,
2015-03-02,3.1,3.2,3.0,3.05,3.05,36335.0
2015-03-03,2.8,3.35,2.8,3.1,3.1,32500.0
2015-03-04,3.1,3.1,2.95,2.95,2.95,5380.0
2015-03-05,2.9,3.05,2.9,2.95,2.95,31415.0
2015-03-09,2.95,3.15,2.85,2.9,2.9,36903.0
2015-03-10,2.9,3.15,2.85,3.0,3.0,27259.0
2015-03-11,3.05,3.05,2.6,2.9,2.9,27330.0
2015-03-12,3.0,3.0,2.8,2.85,2.85,23908.0
2015-03-13,2.85,2.9,2.8,2.85,2.85,20236.0
2015-03-16,2.95,2.95,2.7,2.75,2.75,39562.0
2015-03-17,2.9,2.9,2.65,2.65,2.65,32266.0
2015-03-18,2.85,2.85,2.65,2.65,2.65,32747.0
2015-03-19,2.8,2.8,2.65,2.65,2.65,18478.0
2015-03-20,2.8,2.8,2.55,2.65,2.65,51536.0
2015-03-23,2.45,2.6,2.35,2.35,2.35,52115.0
2015-03-24,2.75,2.75,2.25,2.35,2.35,16539.0
2015-03-25,2.5,2.5,2.2,2.2,2.2,5089.0
2015-03-26,2.3,2.55,1.95,2.0,2.0,111554.0
2015-03-27,2.0,2.15,1.85,2.05,2.05,72850.0
2015-03-30,2.15,2.4,2.05,2.05,2.05,55711.0
2015-03-31,2.25,2.25,2.1,2.1,2.1,11101.0
2015-04-01,2.05,2.3,2.05,2.2,2.2,12550.0
2015-04-06,2.2,2.6,2.2,2.55,2.55,34728.0
2015-04-07,2.85,2.9,2.5,2.55,2.55,66652.0
2015-04-08,2.7,2.75,2.55,2.7,2.7,28228.0
2015-04-09,2.95,2.95,2.5,2.85,2.85,27331.0
2015-04-10,3.0,3.0,2.7,2.8,2.8,25674.0
2015-04-13,2.95,3.05,2.7,2.85,2.85,39240.0
2015-04-15,2.85,2.85,2.6,2.8,2.8,10867.0
2015-04-16,2.6,2.9,2.45,2.8,2.8,6408.0
2015-04-17,2.5,2.85,2.5,2.7,2.7,19102.0
2015-04-20,2.8,3.0,2.5,2.9,2.9,54202.0
2015-04-21,2.6,2.9,2.55,2.65,2.65,7834.0
2015-04-22,2.95,2.95,2.65,2.65,2.65,6393.0
2015-04-23,2.6,2.85,2.55,2.6,2.6,23125.0
2015-04-24,2.55,2.7,2.25,2.6,2.6,23099.0
2015-04-27,2.7,2.7,2.45,2.5,2.5,9367.0
2015-04-28,2.25,2.75,2.25,2.6,2.6,19539.0
2015-04-29,2.7,2.7,2.45,2.5,2.5,17363.0
2015-04-30,2.5,2.7,2.5,2.6,2.6,30114.0
2015-05-04,2.6,2.7,2.45,2.5,2.5,1658.0
2015-05-05,2.5,2.6,2.5,2.5,2.5,4700.0
2015-05-06,2.4,2.5,2.4,2.4,2.4,5703.0
2015-05-07,2.35,2.75,2.25,2.3,2.3,34615.0
2015-05-08,2.25,2.6,2.25,2.55,2.55,16958.0
2015-05-11,2.55,2.55,2.35,2.4,2.4,959.0
2015-05-12,2.25,2.7,2.15,2.55,2.55,29610.0
2015-05-13,2.3,2.5,2.25,2.25,2.25,7300.0
2015-05-14,2.5,2.5,2.2,2.35,2.35,7391.0
2015-05-15,2.35,2.5,2.35,2.5,2.5,6590.0
2015-05-18,2.4,2.55,2.3,2.3,2.3,8950.0
2015-05-19,2.5,2.5,2.3,2.4,2.4,2740.0
2015-05-20,2.6,2.6,2.3,2.4,2.4,7792.0
2015-05-21,2.5,2.5,2.2,2.25,2.25,11315.0
2015-05-22,2.25,2.4,2.05,2.15,2.15,58474.0
2015-05-25,2.05,2.35,2.0,2.3,2.3,20395.0
2015-05-26,2.0,2.35,2.0,2.3,2.3,9655.0
2015-05-27,2.0,2.5,2.0,2.45,2.45,48108.0
2015-05-28,2.4,2.5,2.25,2.25,2.25,11043.0
2015-05-29,2.25,2.5,2.2,2.3,2.3,69191.0
2015-06-01,2.45,2.45,2.25,2.3,2.3,14423.0
2015-06-02,2.25,2.35,2.2,2.35,2.35,26943.0
2015-06-03,2.2,2.35,1.9,2.05,2.05,34351.0
2015-06-04,2.3,2.3,1.7,2.0,2.0,31713.0
2015-06-05,2.0,2.25,2.0,2.25,2.25,43620.0
2015-06-08,2.2,2.2,2.05,2.2,2.2,21600.0
2015-06-09,2.05,2.35,2.0,2.1,2.1,31094.0
2015-06-10,2.1,2.4,2.0,2.35,2.35,42521.0
2015-06-11,2.4,2.4,2.15,2.2,2.2,11449.0
2015-06-12,2.1,2.25,2.0,2.05,2.05,4004.0
2015-06-15,2.05,2.2,2.05,2.15,2.15,10040.0
2015-06-16,2.05,2.2,2.05,2.2,2.2,18207.0
2015-06-17,2.1,2.2,2.1,2.1,2.1,16006.0
2015-06-18,2.1,2.2,2.05,2.1,2.1,17812.0
2015-06-19,2.05,2.2,2.05,2.2,2.2,3484.0
2015-06-22,2.2,2.2,2.05,2.15,2.15,5562.0
2015-06-23,2.15,2.2,2.1,2.1,2.1,6000.0
2015-06-24,2.05,2.15,2.05,2.1,2.1,8536.0
2015-06-25,2.05,2.1,2.05,2.05,2.05,5955.0
2015-06-26,2.0,2.1,2.0,2.0,2.0,2405.0
2015-06-29,2.05,2.05,1.95,2.05,2.05,18122.0
2015-06-30,1.9,2.1,1.9,2.05,2.05,8200.0
2015-07-01,1.95,2.1,1.9,2.1,2.1,12198.0
2015-07-02,2.0,2.1,2.0,2.1,2.1,1735.0
2015-07-03,2.0,2.1,2.0,2.1,2.1,8962.0
2015-07-06,2.1,2.1,1.95,2.1,2.1,11300.0
2015-07-07,1.95,2.05,1.95,2.05,2.05,23300.0
2015-07-08,1.9,2.05,1.9,2.05,2.05,12268.0
2015-07-09,2.0,2.15,2.0,2.1,2.1,11500.0
2015-07-10,2.0,2.15,1.95,2.05,2.05,5601.0
2015-07-13,1.9,2.1,1.9,2.0,2.0,2224.0
2015-07-14,2.0,2.05,1.95,2.0,2.0,18375.0
2015-07-15,1.95,2.1,1.9,2.0,2.0,51002.0
2015-07-16,2.0,2.2,1.8,2.0,2.0,53014.0
2015-07-17,2.0,2.1,2.0,2.0,2.0,18103.0
2015-07-20,2.1,2.1,2.0,2.0,2.0,9775.0
2015-07-21,2.05,2.1,2.05,2.05,2.05,8300.0
2015-07-22,1.95,2.1,1.95,1.95,1.95,11581.0
2015-07-23,2.05,2.1,1.95,2.0,2.0,31429.0
