Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,0.49,0.505,0.475,0.475,0.475,39097590.0
2015-01-02,0.48,0.495,0.455,0.47,0.47,40195720.0
2015-01-05,0.45,0.48,0.45,0.47,0.47,31596610.0
2015-01-06,0.475,0.475,0.45,0.45,0.45,4217950.0
2015-01-07,0.43,0.445,0.43,0.43,0.43,8394080.0
2015-01-08,0.425,0.45,0.41,0.41,0.41,36674310.0
2015-01-09,0.395,0.4,0.39,0.39,0.39,15586150.0
2015-01-12,0.39,0.405,0.375,0.38,0.38,75763500.0
2015-01-13,0.375,0.375,0.365,0.365,0.365,3869530.0
2015-01-14,0.35,0.36,0.35,0.35,0.35,2152520.0
2015-01-15,0.34,0.34,0.335,0.335,0.335,2392190.0
2015-01-16,0.32,0.32,0.32,0.32,0.32,678650.0
2015-01-19,0.305,0.315,0.305,0.305,0.305,1569830.0
2015-01-20,0.29,0.29,0.29,0.29,0.29,1722130.0
2015-01-21,0.28,0.3,0.28,0.295,0.295,11116300.0
2015-01-22,0.305,0.305,0.3,0.305,0.305,6115060.0
2015-01-23,0.32,0.32,0.32,0.32,0.32,11563990.0
2015-01-27,0.32,0.335,0.32,0.335,0.335,3111880.0
2015-01-28,0.35,0.35,0.35,0.35,0.35,2960630.0
2015-01-29,0.365,0.365,0.365,0.365,0.365,274400.0
2015-01-30,0.38,0.38,0.38,0.38,0.38,1882460.0
2015-02-02,0.395,0.395,0.395,0.395,0.395,1181070.0
2015-02-03,0.41,0.41,0.41,0.41,0.41,188590.0
2015-02-04,0.43,0.43,0.43,0.43,0.43,440540.0
2015-02-05,0.45,0.45,0.45,0.45,0.45,532930.0
2015-02-06,0.47,0.47,0.43,0.43,0.43,9758300.0
2015-02-09,0.41,0.41,0.41,0.41,0.41,469370.0
2015-02-10,0.39,0.425,0.39,0.395,0.395,10086630.0
2015-02-11,0.385,0.405,0.38,0.38,0.38,22659070.0
2015-02-12,0.37,0.38,0.365,0.365,0.365,32959890.0
2015-02-13,0.35,0.365,0.35,0.35,0.35,3087410.0
2015-02-16,0.34,0.365,0.335,0.365,0.365,17476660.0
2015-02-18,0.365,0.38,0.365,0.38,0.38,18306800.0
2015-02-19,0.38,0.395,0.365,0.395,0.395,31173620.0
2015-02-20,0.4,0.4,0.38,0.38,0.38,6819570.0
2015-02-23,0.365,0.385,0.365,0.375,0.375,14839010.0
2015-02-24,0.375,0.385,0.36,0.375,0.375,2898210.0
2015-02-25,0.38,0.39,0.37,0.39,0.39,8825660.0
2015-02-26,0.395,0.405,0.38,0.4,0.4,7584940.0
2015-02-27,0.41,0.42,0.4,0.4,0.4,10098780.0
2015-02-28,,,,,,
2015-03-02,0.4,0.41,0.4,0.4,0.4,13780380.0
2015-03-03,0.4,0.41,0.4,0.4,0.4,16779500.0
2015-03-04,0.4,0.41,0.4,0.4,0.4,8163250.0
2015-03-05,0.405,0.405,0.4,0.4,0.4,8328310.0
2015-03-09,0.4,0.4,0.365,0.375,0.375,7501510.0
2015-03-10,0.385,0.385,0.36,0.365,0.365,6837140.0
2015-03-11,0.365,0.39,0.365,0.375,0.375,4724710.0
2015-03-12,0.385,0.41,0.38,0.4,0.4,11552200.0
2015-03-13,0.405,0.425,0.38,0.38,0.38,16194900.0
2015-03-16,0.38,0.405,0.37,0.375,0.375,16193950.0
2015-03-17,0.38,0.41,0.36,0.41,0.41,26849700.0
2015-03-18,0.41,0.435,0.375,0.375,0.375,32391070.0
2015-03-19,0.385,0.385,0.37,0.37,0.37,14598250.0
2015-03-20,0.355,0.38,0.355,0.365,0.365,17557420.0
2015-03-23,0.37,0.39,0.365,0.365,0.365,19427930.0
2015-03-24,0.365,0.375,0.35,0.355,0.355,18172200.0
2015-03-25,0.36,0.39,0.355,0.39,0.39,43483170.0
2015-03-26,0.39,0.395,0.365,0.365,0.365,18694960.0
2015-03-27,0.37,0.375,0.335,0.34,0.34,11982900.0
2015-03-30,0.35,0.4,0.35,0.4,0.4,5787991.0
2015-03-31,0.4,0.45,0.35,0.4,0.4,6151326.0
2015-04-01,0.4,0.45,0.35,0.4,0.4,4975028.0
2015-04-06,0.4,0.45,0.35,0.4,0.4,12112263.0
2015-04-07,0.4,0.45,0.35,0.4,0.4,6820605.0
2015-04-08,0.4,0.45,0.35,0.45,0.45,17091651.0
2015-04-09,0.45,0.5,0.4,0.4,0.4,23117758.0
2015-04-10,0.4,0.45,0.4,0.4,0.4,2530485.0
2015-04-13,0.45,0.45,0.4,0.4,0.4,1589516.0
2015-04-15,0.4,0.45,0.4,0.4,0.4,2635211.0
2015-04-16,0.4,0.4,0.35,0.4,0.4,445996.0
2015-04-17,0.35,0.4,0.35,0.35,0.35,1268477.0
2015-04-20,0.4,0.4,0.35,0.4,0.4,525392.0
2015-04-21,0.4,0.4,0.35,0.4,0.4,1575383.0
2015-04-22,0.35,0.4,0.35,0.4,0.4,488902.0
2015-04-23,0.4,0.4,0.35,0.4,0.4,290409.0
2015-04-24,0.35,0.4,0.35,0.35,0.35,1054819.0
2015-04-27,0.35,0.4,0.35,0.35,0.35,2388738.0
2015-04-28,0.35,0.35,0.3,0.35,0.35,709995.0
2015-04-29,0.3,0.35,0.3,0.35,0.35,437338.0
2015-04-30,0.35,0.35,0.3,0.35,0.35,192022.0
2015-05-04,0.35,0.35,0.3,0.35,0.35,303341.0
