Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,13.4,13.75,12.7,13.2,13.2,21648.0
2015-01-02,13.1,13.65,13.0,13.4,13.4,20765.0
2015-01-05,13.6,13.6,12.8,13.15,13.15,19008.0
2015-01-06,13.05,13.25,12.85,12.95,12.95,15633.0
2015-01-07,12.8,13.15,12.5,12.8,12.8,8547.0
2015-01-08,12.7,13.8,12.7,13.1,13.1,12666.0
2015-01-09,13.2,13.45,12.9,13.1,13.1,21168.0
2015-01-12,13.15,13.4,13.15,13.15,13.15,7047.0
2015-01-13,13.3,13.7,12.8,13.0,13.0,76108.0
2015-01-14,13.05,13.3,12.85,12.9,12.9,29624.0
2015-01-15,13.1,13.25,12.8,12.85,12.85,12871.0
2015-01-16,13.45,13.7,12.65,12.7,12.7,65824.0
2015-01-19,12.55,13.4,12.55,13.2,13.2,42848.0
2015-01-20,13.0,13.5,12.85,12.9,12.9,45973.0
2015-01-21,13.15,13.25,12.8,12.8,12.8,48294.0
2015-01-22,13.15,13.15,12.6,12.8,12.8,41372.0
2015-01-23,13.15,13.15,12.3,12.5,12.5,38145.0
2015-01-27,12.5,12.85,12.05,12.2,12.2,27199.0
2015-01-28,12.15,12.65,12.0,12.1,12.1,15232.0
2015-01-29,12.15,12.65,11.95,12.3,12.3,11539.0
2015-01-30,12.2,12.45,11.9,11.95,11.95,27139.0
2015-02-02,12.0,12.35,11.8,11.8,11.8,15393.0
2015-02-03,12.4,12.4,11.65,11.8,11.8,54538.0
2015-02-04,11.7,13.4,11.4,13.2,13.2,143138.0
2015-02-05,13.65,15.4,13.05,14.8,14.8,211269.0
2015-02-06,15.0,15.0,13.2,13.6,13.6,62831.0
2015-02-09,13.4,14.0,12.9,13.35,13.35,26465.0
2015-02-10,13.25,13.5,12.5,12.95,12.95,56975.0
2015-02-11,13.2,13.7,12.8,13.35,13.35,13773.0
2015-02-12,13.2,13.2,12.75,13.0,13.0,7451.0
2015-02-13,12.9,13.4,12.8,13.35,13.35,114299.0
2015-02-16,13.0,13.5,12.9,13.0,13.0,20471.0
2015-02-18,13.0,13.9,13.0,13.45,13.45,22220.0
2015-02-19,14.0,14.45,13.5,13.65,13.65,27583.0
2015-02-20,14.4,14.4,13.6,13.8,13.8,25059.0
2015-02-23,13.7,16.4,13.2,14.3,14.3,42859.0
2015-02-24,15.4,15.65,14.0,14.35,14.35,18472.0
2015-02-25,14.05,14.9,13.45,13.55,13.55,59094.0
2015-02-26,13.9,14.0,13.0,13.4,13.4,14496.0
2015-02-27,13.4,13.4,12.8,13.1,13.1,49138.0
2015-02-28,,,,,,
2015-03-02,13.0,13.45,12.45,13.1,13.1,5370.0
2015-03-03,13.0,13.35,12.75,12.95,12.95,11788.0
2015-03-04,12.85,13.45,12.3,12.9,12.9,49860.0
2015-03-05,14.0,14.0,12.6,12.7,12.7,20957.0
2015-03-09,12.7,13.0,12.45,12.6,12.6,21572.0
2015-03-10,13.35,13.35,12.35,12.45,12.45,20966.0
2015-03-11,12.85,13.1,12.4,12.7,12.7,13292.0
2015-03-12,12.7,13.0,12.3,12.4,12.4,14854.0
2015-03-13,12.95,12.95,12.35,12.5,12.5,11652.0
2015-03-16,12.4,12.4,12.0,12.05,12.05,9813.0
2015-03-17,12.5,12.8,11.6,11.7,11.7,51632.0
2015-03-18,11.5,11.55,11.05,11.2,11.2,82303.0
2015-03-19,10.7,11.4,10.7,10.95,10.95,30256.0
2015-03-20,10.9,11.45,10.2,10.25,10.25,170606.0
2015-03-23,10.3,10.3,9.55,9.65,9.65,64949.0
2015-03-24,9.25,9.85,9.05,9.55,9.55,72977.0
2015-03-25,9.1,9.65,9.1,9.25,9.25,163915.0
2015-03-26,9.05,9.5,8.85,9.05,9.05,60552.0
2015-03-27,9.0,9.35,8.7,8.85,8.85,98530.0
2015-03-30,9.0,9.25,8.8,9.05,9.05,62259.0
2015-03-31,8.9,9.45,8.8,9.1,9.1,47107.0
2015-04-01,9.8,10.45,9.1,10.35,10.35,66924.0
2015-04-06,10.35,11.75,10.0,11.55,11.55,43807.0
2015-04-07,11.4,13.25,10.85,13.1,13.1,192543.0
2015-04-08,13.5,14.4,13.5,14.4,14.4,536251.0
2015-04-09,14.5,14.9,13.2,13.45,13.45,188736.0
2015-04-10,13.3,13.95,13.05,13.4,13.4,58537.0
2015-04-13,13.9,13.9,12.75,13.0,13.0,38489.0
2015-04-15,13.0,13.2,12.25,12.35,12.35,138139.0
2015-04-16,12.45,12.5,11.9,12.0,12.0,62251.0
2015-04-17,11.8,12.05,11.6,11.7,11.7,30467.0
2015-04-20,,,,,,
2015-04-21,11.05,11.65,11.0,11.2,11.2,42155.0
2015-04-22,11.15,11.5,11.05,11.15,11.15,14268.0
2015-04-23,11.3,11.45,10.9,11.4,11.4,209253.0
2015-04-24,,,,,,
2015-04-27,10.85,11.5,10.75,10.85,10.85,21082.0
2015-04-28,10.6,11.0,10.25,10.8,10.8,123359.0
2015-04-29,10.7,11.05,10.5,10.65,10.65,113278.0
2015-04-30,10.7,11.15,10.5,10.65,10.65,113677.0
2015-05-04,,,,,,
2015-05-05,11.1,11.5,10.95,11.1,11.1,14021.0
2015-05-06,11.0,11.1,10.5,10.95,10.95,23187.0
2015-05-07,10.9,11.15,10.6,10.7,10.7,14228.0
2015-05-08,11.0,11.0,10.5,10.7,10.7,31155.0
2015-05-11,10.65,11.75,10.4,10.8,10.8,17423.0
2015-05-12,10.7,10.8,10.1,10.55,10.55,20201.0
2015-05-13,,,,,,
2015-05-14,,,,,,
2015-05-15,10.35,10.35,10.0,10.1,10.1,21323.0
2015-05-18,10.15,10.35,10.1,10.15,10.15,12921.0
2015-05-19,10.0,11.55,10.0,11.35,11.35,48981.0
2015-05-20,,,,,,
2015-05-21,11.55,11.75,10.75,10.8,10.8,29392.0
2015-05-22,10.7,11.2,10.5,10.85,10.85,7097.0
2015-05-25,,,,,,
2015-05-26,11.0,12.9,10.35,12.75,12.75,136196.0
2015-05-27,12.9,13.0,11.4,11.75,11.75,199428.0
2015-05-28,11.9,11.9,11.5,11.7,11.7,19622.0
2015-05-29,11.8,11.8,11.25,11.55,11.55,15698.0
2015-06-01,,,,,,
2015-06-02,11.25,11.25,10.5,10.75,10.75,22611.0
2015-06-03,11.0,11.0,9.75,9.8,9.8,25552.0
2015-06-04,,,,,,
2015-06-05,10.0,10.15,8.75,8.85,8.85,197623.0
2015-06-08,,,,,,
2015-06-09,8.7,8.9,8.5,8.7,8.7,21076.0
2015-06-10,8.6,9.1,8.5,8.85,8.85,14331.0
2015-06-11,,,,,,
2015-06-12,8.8,9.05,8.4,8.7,8.7,12502.0
2015-06-15,,,,,,
2015-06-16,,,,,,
2015-06-17,8.65,9.2,8.3,9.05,9.05,20669.0
2015-06-18,9.65,9.65,8.85,9.25,9.25,10315.0
2015-06-19,,,,,,
2015-06-22,9.0,9.2,9.0,9.05,9.05,22073.0
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,9.0,9.2,8.5,8.75,8.75,14289.0
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,8.7,9.0,8.7,8.8,8.8,6991.0
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,8.9,9.15,8.55,8.75,8.75,52824.0
2015-07-13,8.8,9.05,8.75,8.85,8.85,15605.0
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,9.0,9.55,8.75,9.25,9.25,51533.0
2015-07-24,9.2,9.5,9.15,9.4,9.4,12565.0
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,9.25,9.65,9.25,9.6,9.6,53444.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,9.4,9.45,9.05,9.2,9.2,4249.0
2015-08-13,9.5,9.5,8.7,8.8,8.8,26368.0
2015-08-14,8.7,10.55,8.7,9.6,9.6,101973.0
2015-08-17,10.65,10.65,9.55,10.0,10.0,56683.0
2015-08-18,10.75,12.0,10.5,11.4,11.4,355847.0
2015-08-19,11.75,12.0,11.0,11.25,11.25,93615.0
2015-08-20,11.1,11.1,10.55,10.6,10.6,78004.0
2015-08-21,10.55,10.55,9.75,10.0,10.0,75925.0
2015-08-24,9.8,10.75,8.55,8.85,8.85,167477.0
2015-08-25,8.8,9.85,8.6,9.25,9.25,69742.0
2015-08-26,9.1,9.45,8.95,9.0,9.0,14696.0
2015-08-27,9.25,9.55,9.15,9.35,9.35,16781.0
2015-08-28,9.5,9.65,8.95,9.1,9.1,51194.0
2015-08-31,9.55,9.55,9.25,9.35,9.35,24316.0
2015-09-01,9.3,9.3,8.75,8.8,8.8,36548.0
2015-09-02,9.2,9.2,8.8,8.9,8.9,14782.0
2015-09-03,9.2,9.2,8.9,9.0,9.0,16205.0
2015-09-04,9.25,9.25,8.65,8.65,8.65,30912.0
2015-09-07,8.65,9.15,8.65,8.95,8.95,13228.0
2015-09-08,9.0,9.0,8.65,8.9,8.9,7193.0
2015-09-09,9.15,9.7,8.9,9.25,9.25,33027.0
2015-09-10,9.1,9.15,8.5,8.85,8.85,32538.0
2015-09-11,9.25,9.25,8.7,8.75,8.75,43661.0
