Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,8.6,9.25,8.6,9.0,9.0,268983.0
2015-01-02,9.2,9.8,9.0,9.35,9.35,1028182.0
2015-01-05,9.8,9.8,8.5,9.15,9.15,426227.0
2015-01-06,9.0,9.2,8.75,8.85,8.85,203421.0
2015-01-07,9.2,9.2,8.75,8.95,8.95,238102.0
2015-01-08,9.05,9.3,9.05,9.1,9.1,182722.0
2015-01-09,9.2,9.2,8.8,8.9,8.9,243210.0
2015-01-12,9.3,9.3,8.75,8.9,8.9,86979.0
2015-01-13,9.0,9.05,8.8,8.85,8.85,147162.0
2015-01-14,9.0,9.1,8.65,8.75,8.75,136977.0
2015-01-15,9.0,9.1,8.85,8.9,8.9,208133.0
2015-01-16,9.1,9.1,8.7,8.8,8.8,199500.0
2015-01-19,9.0,9.1,8.8,8.9,8.9,153702.0
2015-01-20,9.05,9.05,8.75,8.8,8.8,128098.0
2015-01-21,8.8,9.1,8.65,8.8,8.8,258560.0
2015-01-22,8.75,8.95,8.65,8.75,8.75,140218.0
2015-01-23,8.95,8.95,8.65,8.7,8.7,205314.0
2015-01-27,8.7,8.9,8.65,8.7,8.7,115639.0
2015-01-28,8.8,8.8,8.6,8.65,8.65,136221.0
2015-01-29,8.75,8.75,8.45,8.5,8.5,110807.0
2015-01-30,8.5,8.5,8.15,8.25,8.25,160813.0
2015-02-02,8.0,8.45,8.0,8.25,8.25,240815.0
2015-02-03,8.4,8.6,8.25,8.35,8.35,131170.0
2015-02-04,8.15,8.6,8.15,8.35,8.35,141595.0
2015-02-05,8.45,8.45,8.05,8.1,8.1,182834.0
2015-02-06,8.1,8.1,7.9,7.95,7.95,71333.0
2015-02-09,7.5,7.9,7.5,7.7,7.7,127272.0
2015-02-10,7.65,8.0,7.65,7.7,7.7,121135.0
2015-02-11,7.9,7.9,7.7,7.85,7.85,47494.0
2015-02-12,7.85,8.3,7.7,7.95,7.95,133688.0
2015-02-13,7.85,8.3,7.85,8.05,8.05,129279.0
2015-02-16,7.8,8.2,7.75,7.85,7.85,179611.0
2015-02-18,7.85,8.2,7.75,7.85,7.85,336111.0
