Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,4.45,4.45,4.15,4.35,4.35,4355.0
2015-01-02,4.5,4.5,4.2,4.4,4.4,29893.0
2015-01-05,4.4,5.25,4.4,5.25,5.25,123844.0
2015-01-06,5.3,5.4,4.75,4.95,4.95,41042.0
2015-01-07,5.1,5.4,4.9,5.1,5.1,32392.0
2015-01-08,5.25,5.25,4.25,4.9,4.9,40478.0
2015-01-09,4.9,4.9,4.5,4.75,4.75,24535.0
2015-01-12,4.65,5.2,4.65,4.95,4.95,18206.0
2015-01-13,5.55,5.55,4.75,5.1,5.1,24518.0
2015-01-14,5.15,5.15,4.7,4.75,4.75,12214.0
2015-01-15,4.75,5.3,4.7,5.1,5.1,28400.0
2015-01-16,5.1,5.1,5.0,5.0,5.0,27975.0
2015-01-19,5.25,5.45,5.0,5.2,5.2,49898.0
2015-01-20,5.15,5.15,4.9,4.95,4.95,17861.0
2015-01-21,5.0,5.25,4.95,5.0,5.0,2305.0
2015-01-22,5.05,5.15,4.8,5.0,5.0,3934.0
2015-01-23,4.55,5.2,4.55,4.9,4.9,6114.0
2015-01-27,4.9,4.9,4.6,4.7,4.7,15389.0
2015-01-28,4.6,4.6,4.6,4.6,4.6,1.0
2015-01-29,4.25,4.8,4.25,4.55,4.55,2526.0
2015-01-30,4.4,4.65,4.35,4.35,4.35,1938.0
2015-02-02,4.35,4.65,4.35,4.5,4.5,18416.0
2015-02-03,4.3,4.5,4.1,4.35,4.35,18762.0
2015-02-04,4.35,4.35,4.05,4.25,4.25,11040.0
2015-02-05,4.2,4.9,3.8,4.1,4.1,11131.0
2015-02-06,4.35,4.35,3.9,4.0,4.0,6560.0
2015-02-09,4.45,4.45,3.7,4.2,4.2,7782.0
2015-02-10,3.9,4.4,3.65,3.85,3.85,18607.0
2015-02-11,3.6,4.1,3.6,3.95,3.95,3607.0
2015-02-12,4.5,4.5,4.0,4.05,4.05,1813.0
2015-02-13,4.75,4.75,3.9,4.05,4.05,5132.0
2015-02-16,4.25,4.25,4.0,4.0,4.0,1014.0
2015-02-18,4.0,4.25,4.0,4.15,4.15,2841.0
2015-02-19,4.15,4.2,4.0,4.15,4.15,5092.0
2015-02-20,4.05,4.15,4.0,4.0,4.0,8075.0
2015-02-23,4.0,4.4,4.0,4.2,4.2,15187.0
2015-02-24,4.2,4.5,4.05,4.35,4.35,18094.0
2015-02-25,4.4,4.45,4.1,4.25,4.25,16477.0
2015-02-26,4.4,4.4,4.15,4.35,4.35,12944.0
2015-02-27,4.15,4.45,4.15,4.3,4.3,8391.0
2015-02-28,,,,,,
2015-03-02,3.75,4.6,3.75,4.45,4.45,12158.0
2015-03-03,4.4,4.45,4.1,4.15,4.15,2166.0
2015-03-04,4.4,4.4,4.1,4.1,4.1,1669.0
2015-03-05,3.95,4.2,3.95,4.0,4.0,1675.0
2015-03-09,4.0,4.5,3.6,4.0,4.0,12457.0
2015-03-10,4.0,4.0,3.85,4.0,4.0,2200.0
2015-03-11,4.0,4.0,3.7,3.95,3.95,14553.0
2015-03-12,4.0,4.0,3.9,3.9,3.9,1167.0
2015-03-13,3.95,3.95,3.8,3.9,3.9,2750.0
2015-03-16,3.65,3.8,3.65,3.75,3.75,2729.0
2015-03-17,3.8,3.95,3.7,3.7,3.7,12048.0
2015-03-18,3.9,3.95,3.75,3.95,3.95,3124.0
2015-03-19,3.6,3.8,3.55,3.7,3.7,7500.0
2015-03-20,3.55,3.55,3.2,3.35,3.35,9448.0
2015-03-23,3.5,3.5,3.05,3.2,3.2,3921.0
2015-03-24,3.35,3.45,2.7,3.0,3.0,10992.0
2015-03-25,3.0,3.1,3.0,3.05,3.05,5064.0
2015-03-26,3.3,3.3,3.05,3.05,3.05,280.0
2015-03-27,2.65,3.5,2.65,3.25,3.25,7348.0
2015-03-30,3.45,3.7,2.75,3.55,3.55,12262.0
2015-03-31,3.2,3.6,3.2,3.45,3.45,2038.0
2015-04-01,3.25,3.4,3.0,3.15,3.15,33984.0
2015-04-06,3.15,3.15,3.15,3.15,3.15,0.0
2015-04-07,3.45,3.55,3.25,3.25,3.25,4431.0
2015-04-08,3.5,3.5,3.3,3.35,3.35,8583.0
2015-04-09,,,,,,
2015-04-10,3.45,3.5,3.25,3.5,3.5,4880.0
2015-04-13,3.5,3.65,3.35,3.55,3.55,5273.0
2015-04-15,3.65,3.65,3.4,3.5,3.5,1977.0
2015-04-16,3.7,3.7,3.35,3.65,3.65,1656.0
2015-04-17,3.65,4.35,3.65,4.1,4.1,23380.0
2015-04-20,3.55,4.55,3.55,4.1,4.1,21736.0
