Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,1.65,1.65,1.65,1.65,1.65,8436
2016-08-02,1.5,1.6,1.5,1.5,1.5,81745
2016-08-03,1.35,1.65,1.35,1.55,1.55,249902
2016-08-04,1.5,1.6,1.45,1.45,1.45,279535
2016-08-05,1.45,1.55,1.4,1.5,1.5,90061
2016-08-08,1.55,1.65,1.5,1.65,1.65,357152
2016-08-09,1.65,1.8,1.65,1.75,1.75,235280
2016-08-10,1.75,1.8,1.7,1.8,1.8,74003
2016-08-11,1.75,1.75,1.75,1.75,1.75,15500
2016-08-12,1.7,1.8,1.7,1.75,1.75,100301
2016-08-16,1.75,1.75,1.7,1.7,1.7,14160
2016-08-17,1.65,1.65,1.65,1.65,1.65,19050
2016-08-18,1.6,1.7,1.6,1.65,1.65,46770
2016-08-19,1.65,1.65,1.6,1.6,1.6,94788
2016-08-22,1.6,1.65,1.6,1.65,1.65,41029
2016-08-23,1.7,1.7,1.7,1.7,1.7,20391
2016-08-24,1.75,1.75,1.7,1.75,1.75,52367
2016-08-25,1.8,1.8,1.8,1.8,1.8,16727
2016-08-26,1.85,1.85,1.8,1.8,1.8,44971
2016-08-29,1.85,1.85,1.8,1.85,1.85,46968
2016-08-30,1.85,1.9,1.8,1.85,1.85,20748
2016-08-31,1.9,1.9,1.8,1.8,1.8,38511
2016-09-01,1.85,1.85,1.75,1.75,1.75,27022
2016-09-02,1.75,1.9,1.65,1.75,1.75,64899
2016-09-06,1.75,1.85,1.65,1.65,1.65,48951
2016-09-07,1.65,1.75,1.6,1.6,1.6,64071
2016-09-08,1.55,1.7,1.55,1.65,1.65,34232
2016-09-09,1.6,1.75,1.6,1.6,1.6,58765
2016-09-12,1.7,1.7,1.55,1.6,1.6,24358
2016-09-14,1.6,1.7,1.55,1.6,1.6,15130
2016-09-15,1.55,1.7,1.55,1.65,1.65,46108
2016-09-16,1.7,1.8,1.6,1.65,1.65,384583
2016-09-19,1.65,1.7,1.65,1.65,1.65,50439
2016-09-20,1.7,1.7,1.6,1.65,1.65,34475
2016-09-21,1.7,1.7,1.6,1.7,1.7,24257
2016-09-22,1.7,1.7,1.6,1.6,1.6,54840
2016-09-23,1.6,1.7,1.6,1.65,1.65,123488
2016-09-26,1.7,1.7,1.5,1.5,1.5,248007
2016-09-27,1.5,1.65,1.5,1.65,1.65,81233
2016-09-28,1.65,1.7,1.55,1.6,1.6,79959
2016-09-29,1.6,1.75,1.45,1.45,1.45,694600
2016-09-30,1.5,1.5,1.35,1.4,1.4,173225
2016-10-03,1.4,1.5,1.4,1.5,1.5,83289
