Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,19.950001,20.799999,19.5,19.85,19.85,31770.0
2015-01-02,20.25,20.5,20.049999,20.35,20.35,49782.0
2015-01-05,20.65,23.0,20.65,21.85,21.85,128542.0
2015-01-06,21.700001,21.700001,19.85,20.25,20.25,86052.0
2015-01-07,21.25,22.4,20.4,21.1,21.1,237933.0
2015-01-08,21.299999,24.700001,21.200001,22.75,22.75,867773.0
2015-01-09,23.5,23.65,21.450001,22.049999,22.049999,200605.0
2015-01-12,22.35,22.35,21.4,21.5,21.5,106228.0
2015-01-13,21.85,22.0,20.700001,21.1,21.1,106506.0
2015-01-14,21.25,22.0,20.549999,20.65,20.65,74826.0
2015-01-15,20.75,21.4,19.799999,20.4,20.4,107740.0
2015-01-16,20.299999,20.799999,19.9,20.1,20.1,80415.0
2015-01-19,20.200001,20.9,20.200001,20.549999,20.549999,69734.0
2015-01-20,20.75,21.0,19.85,20.0,20.0,109280.0
2015-01-21,20.5,20.5,19.9,20.0,20.0,41747.0
2015-01-22,20.5,20.5,19.25,19.5,19.5,110833.0
2015-01-23,19.65,20.700001,19.6,19.85,19.85,109732.0
2015-01-27,19.85,20.35,18.9,19.1,19.1,63689.0
2015-01-28,19.0,19.549999,18.25,18.4,18.4,84414.0
2015-01-29,18.299999,18.75,18.25,18.299999,18.299999,19078.0
2015-01-30,18.200001,18.799999,18.200001,18.450001,18.450001,12126.0
2015-02-02,18.299999,19.35,18.200001,19.200001,19.200001,44232.0
2015-02-03,19.5,20.200001,19.049999,19.200001,19.200001,30811.0
2015-02-04,19.25,19.450001,18.75,18.85,18.85,14564.0
2015-02-05,19.299999,19.299999,18.25,18.450001,18.450001,33993.0
2015-02-06,18.85,19.4,17.9,18.1,18.1,39297.0
2015-02-09,18.0,18.0,17.15,17.5,17.5,39646.0
2015-02-10,17.4,18.0,17.0,17.1,17.1,45476.0
2015-02-11,17.200001,17.549999,17.0,17.15,17.15,36491.0
2015-02-12,17.049999,17.6,16.799999,17.049999,17.049999,56078.0
2015-02-13,16.75,17.35,16.75,17.15,17.15,75244.0
2015-02-16,17.200001,17.5,17.15,17.25,17.25,18079.0
2015-02-18,17.25,18.1,17.0,17.299999,17.299999,115848.0
2015-02-19,18.200001,20.200001,18.1,19.5,19.5,217267.0
2015-02-20,19.6,19.65,18.6,19.299999,19.299999,98236.0
2015-02-23,19.75,19.75,18.6,18.700001,18.700001,23691.0
2015-02-24,18.549999,19.0,18.299999,18.85,18.85,20215.0
2015-02-25,20.65,21.85,20.4,20.799999,20.799999,673688.0
2015-02-26,21.35,21.35,18.450001,19.65,19.65,118936.0
2015-02-27,19.5,21.0,19.5,20.75,20.75,84796.0
2015-02-28,,,,,,
2015-03-02,20.75,20.75,18.85,19.25,19.25,42729.0
2015-03-03,19.0,19.5,18.85,18.9,18.9,35503.0
2015-03-04,19.049999,19.4,18.5,18.75,18.75,49026.0
2015-03-05,19.0,19.25,18.5,18.799999,18.799999,34299.0
2015-03-09,18.799999,19.1,18.15,18.549999,18.549999,33349.0
2015-03-10,18.6,18.85,18.049999,18.25,18.25,50756.0
2015-03-11,18.25,18.700001,17.6,17.75,17.75,40899.0
2015-03-12,18.0,18.25,17.6,17.75,17.75,12838.0
2015-03-13,18.5,18.5,17.5,17.6,17.6,15392.0
2015-03-16,17.299999,17.85,17.049999,17.15,17.15,18597.0
2015-03-17,17.1,18.200001,17.1,17.65,17.65,41343.0
2015-03-18,17.799999,17.799999,17.1,17.25,17.25,10626.0
2015-03-19,17.15,17.75,17.049999,17.200001,17.200001,14601.0
2015-03-20,17.0,17.1,16.799999,16.799999,16.799999,12789.0
2015-03-23,16.799999,17.1,16.5,16.6,16.6,12450.0
2015-03-24,16.5,17.4,16.0,16.1,16.1,33330.0
2015-03-25,16.0,16.4,15.4,15.55,15.55,56989.0
2015-03-26,15.55,16.200001,15.4,15.65,15.65,46060.0
2015-03-27,15.35,16.200001,15.35,16.049999,16.049999,23221.0
2015-03-30,16.799999,16.799999,15.85,16.5,16.5,46785.0
2015-03-31,16.9,17.0,15.85,16.15,16.15,67726.0
2015-04-01,16.65,18.049999,16.65,17.5,17.5,71916.0
2015-04-06,17.5,18.1,17.0,17.200001,17.200001,20494.0
2015-04-07,18.0,19.299999,16.65,18.9,18.9,240660.0
2015-04-08,19.1,19.1,17.85,17.950001,17.950001,62904.0
2015-04-09,17.799999,18.450001,17.65,17.9,17.9,32800.0
2015-04-10,17.85,18.450001,17.75,17.85,17.85,56697.0
2015-04-13,17.9,18.25,17.5,17.549999,17.549999,35286.0
2015-04-15,17.549999,18.0,17.25,17.450001,17.450001,38002.0
2015-04-16,,,,,,
2015-04-17,17.200001,17.299999,16.85,16.950001,16.950001,15836.0
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,16.65,16.700001,16.0,16.35,16.35,43573.0
2015-04-23,16.6,16.65,16.049999,16.5,16.5,28897.0
2015-04-24,17.0,17.0,16.049999,16.200001,16.200001,28782.0
2015-04-27,16.200001,16.25,15.5,15.55,15.55,67836.0
2015-04-28,15.4,16.15,15.4,16.1,16.1,11068.0
2015-04-29,15.85,16.450001,15.7,15.8,15.8,9657.0
2015-04-30,16.0,16.35,15.35,15.6,15.6,29867.0
2015-05-04,15.6,16.25,15.6,16.1,16.1,20520.0
2015-05-05,,,,,,
2015-05-06,16.049999,16.049999,14.75,15.4,15.4,80291.0
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,15.0,15.3,14.75,15.0,15.0,29432.0
2015-05-12,14.9,15.55,14.5,14.65,14.65,49483.0
2015-05-13,14.9,15.7,14.85,15.0,15.0,44928.0
2015-05-14,,,,,,
2015-05-15,,,,,,
2015-05-18,15.35,15.4,15.0,15.2,15.2,15364.0
2015-05-19,15.0,15.35,14.9,15.25,15.25,4923.0
2015-05-20,15.15,15.45,14.7,14.75,14.75,17438.0
2015-05-21,15.15,15.15,14.6,14.7,14.7,18661.0
2015-05-22,15.9,15.9,14.75,15.2,15.2,50173.0
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,15.1,15.1,14.75,14.85,14.85,2494.0
2015-05-29,,,,,,
2015-06-01,,,,,,
2015-06-02,14.8,14.8,14.15,14.2,14.2,10855.0
2015-06-03,14.1,14.35,13.6,13.6,13.6,28216.0
2015-06-04,13.5,14.1,13.05,13.5,13.5,54536.0
2015-06-05,,,,,,
2015-06-08,,,,,,
2015-06-09,,,,,,
2015-06-10,,,,,,
2015-06-11,15.15,15.45,14.25,14.45,14.45,29167.0
2015-06-12,,,,,,
2015-06-15,14.75,14.85,13.65,14.15,14.15,11574.0
2015-06-16,,,,,,
2015-06-17,,,,,,
2015-06-18,14.2,14.95,14.2,14.45,14.45,17098.0
2015-06-19,14.7,14.7,14.3,14.55,14.55,10420.0
2015-06-22,,,,,,
2015-06-23,14.35,14.8,14.35,14.45,14.45,9328.0
2015-06-24,14.5,16.049999,14.4,15.0,15.0,34596.0
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,16.5,16.6,15.3,15.7,15.7,31121.0
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,15.0,15.25,14.85,15.0,15.0,18060.0
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,14.25,14.65,14.2,14.45,14.45,113879.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,13.55,13.6,13.1,13.2,13.2,30798.0
2015-08-13,13.45,13.6,13.1,13.2,13.2,26735.0
2015-08-14,13.1,13.45,12.7,13.1,13.1,20404.0
2015-08-17,13.6,13.6,12.85,13.0,13.0,17204.0
2015-08-18,13.5,13.5,12.9,13.0,13.0,37870.0
2015-08-19,13.35,13.35,12.8,12.85,12.85,27629.0
2015-08-20,12.9,13.0,12.55,12.6,12.6,51915.0
2015-08-21,12.4,13.0,12.35,12.65,12.65,82669.0
2015-08-24,12.65,12.65,11.5,11.6,11.6,20737.0
2015-08-25,12.35,12.35,11.1,11.3,11.3,18771.0
2015-08-26,11.65,11.8,10.8,11.6,11.6,10131.0
2015-08-27,12.5,12.5,11.6,12.0,12.0,4378.0
2015-08-28,11.95,12.5,11.9,12.2,12.2,31860.0
2015-08-31,12.0,12.15,11.4,11.5,11.5,120080.0
2015-09-01,11.4,11.75,11.0,11.4,11.4,30463.0
2015-09-02,11.2,11.45,10.75,10.9,10.9,16937.0
2015-09-03,11.3,11.55,11.15,11.45,11.45,11114.0
2015-09-04,11.05,11.55,10.8,10.85,10.85,16542.0
2015-09-07,11.4,11.4,10.85,10.9,10.9,8513.0
2015-09-08,11.0,11.35,10.75,11.2,11.2,9537.0
2015-09-09,11.75,12.05,11.35,12.0,12.0,22445.0
2015-09-10,11.9,11.9,11.05,11.15,11.15,22238.0
2015-09-11,11.45,11.6,11.2,11.3,11.3,20079.0
2015-09-14,11.55,11.75,11.3,11.35,11.35,12195.0
2015-09-15,11.55,11.7,11.0,11.3,11.3,12590.0
2015-09-16,11.2,11.55,11.1,11.25,11.25,922.0
2015-09-18,11.25,11.7,11.25,11.55,11.55,5917.0
2015-09-21,11.3,12.15,11.3,11.9,11.9,21639.0
2015-09-22,11.8,12.0,11.5,11.5,11.5,8510.0
2015-09-23,11.9,12.35,11.25,12.1,12.1,25527.0
