Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,10.65,10.65,10.65,10.65,10.65,25.0
2015-01-02,10.65,10.65,10.65,10.65,10.65,0.0
2015-01-05,11.0,11.0,10.55,10.55,10.55,138.0
2015-01-06,10.55,10.55,10.55,10.55,10.55,0.0
2015-01-07,10.5,11.6,10.5,11.6,11.6,68.0
2015-01-08,10.65,11.5,10.65,11.5,11.5,1060.0
2015-01-09,11.0,12.0,11.0,12.0,12.0,608.0
2015-01-12,11.5,11.5,11.5,11.5,11.5,34.0
2015-01-13,11.0,11.95,11.0,11.55,11.55,1079.0
2015-01-14,11.6,11.6,11.6,11.6,11.6,51.0
2015-01-15,11.6,11.6,11.05,11.05,11.05,874.0
2015-01-16,12.0,12.15,11.6,12.0,12.0,2518.0
2015-01-19,11.2,11.2,11.2,11.2,11.2,205.0
2015-01-20,11.05,11.05,11.05,11.05,11.05,3.0
2015-01-21,10.1,10.1,10.1,10.1,10.1,50.0
2015-01-22,10.15,10.25,10.15,10.25,10.25,148.0
2015-01-23,9.6,11.25,9.6,11.25,11.25,1134.0
2015-01-27,11.25,12.0,11.25,11.7,11.7,4500.0
2015-01-28,11.25,11.9,11.25,11.9,11.9,600.0
2015-01-29,11.9,11.9,11.6,11.6,11.6,654.0
2015-01-30,10.85,12.25,10.85,12.15,12.15,4711.0
2015-02-02,12.15,12.15,12.15,12.15,12.15,0.0
2015-02-03,12.0,12.25,12.0,12.25,12.25,341.0
2015-02-04,12.0,12.6,12.0,12.6,12.6,309.0
2015-02-05,11.7,12.95,11.7,12.9,12.9,1599.0
2015-02-06,12.8,12.8,12.0,12.05,12.05,1210.0
2015-02-09,12.05,12.05,12.05,12.05,12.05,0.0
2015-02-10,12.5,12.5,12.5,12.5,12.5,50.0
2015-02-11,12.75,13.75,11.9,13.5,13.5,2911.0
2015-02-12,12.25,14.85,12.25,13.65,13.65,4564.0
2015-02-13,12.3,13.65,12.3,13.0,13.0,3933.0
2015-02-16,12.8,12.8,12.25,12.8,12.8,1101.0
2015-02-18,12.8,13.95,12.5,12.5,12.5,608.0
2015-02-19,12.5,12.5,12.5,12.5,12.5,500.0
2015-02-20,12.5,13.45,12.5,13.25,13.25,2660.0
2015-02-23,13.0,13.0,12.5,12.5,12.5,1570.0
2015-02-24,12.5,12.5,12.5,12.5,12.5,0.0
2015-02-25,13.0,13.1,13.0,13.0,13.0,2000.0
2015-02-26,14.05,14.05,13.0,13.3,13.3,1303.0
2015-02-27,13.0,13.0,13.0,13.0,13.0,1000.0
2015-02-28,,,,,,
2015-03-02,13.0,13.0,12.75,12.85,12.85,1500.0
2015-03-03,13.0,13.0,13.0,13.0,13.0,1600.0
2015-03-04,12.5,12.95,12.5,12.8,12.8,1569.0
2015-03-05,12.95,12.95,12.7,12.7,12.7,361.0
2015-03-09,12.7,12.7,12.7,12.7,12.7,0.0
2015-03-10,13.0,13.0,12.7,12.7,12.7,2894.0
2015-03-11,12.75,13.0,12.7,13.0,13.0,2700.0
2015-03-12,13.0,13.0,12.1,12.5,12.5,11121.0
2015-03-13,12.65,13.0,12.65,13.0,13.0,1050.0
2015-03-16,12.1,12.5,12.1,12.25,12.25,2758.0
2015-03-17,12.5,12.7,12.5,12.7,12.7,102.0
2015-03-18,12.5,12.5,12.5,12.5,12.5,60.0
2015-03-19,12.7,12.7,12.7,12.7,12.7,100.0
2015-03-20,12.5,13.3,12.5,12.6,12.6,1900.0
2015-03-23,12.5,12.7,12.5,12.7,12.7,1330.0
2015-03-24,12.5,13.0,12.5,12.95,12.95,2302.0
2015-03-25,12.95,12.95,12.95,12.95,12.95,0.0
2015-03-26,12.5,12.7,12.5,12.7,12.7,462.0
2015-03-27,11.45,11.45,11.45,11.45,11.45,2217.0
2015-03-30,12.0,12.0,12.0,12.0,12.0,50.0
2015-03-31,12.3,12.5,12.3,12.5,12.5,582.0
2015-04-01,12.5,12.5,11.75,12.0,12.0,3.0
2015-04-06,12.0,12.0,11.0,11.0,11.0,31.0
2015-04-07,11.0,11.0,11.0,11.0,11.0,0.0
2015-04-08,11.2,12.95,11.2,12.95,12.95,1306.0
2015-04-09,13.0,13.0,12.5,12.5,12.5,750.0
2015-04-10,12.5,12.8,12.5,12.8,12.8,605.0
2015-04-13,13.25,13.5,12.8,12.9,12.9,9465.0
2015-04-15,12.9,13.25,12.9,13.0,13.0,4920.0
2015-04-16,13.0,13.2,13.0,13.0,13.0,4004.0
2015-04-17,13.0,13.0,12.1,12.5,12.5,1108.0
2015-04-20,13.0,13.0,13.0,13.0,13.0,4625.0
2015-04-21,12.2,12.8,11.8,12.8,12.8,1402.0
2015-04-22,12.15,12.7,12.15,12.7,12.7,2001.0
2015-04-23,12.5,12.5,12.5,12.5,12.5,500.0
2015-04-24,12.8,12.8,12.6,12.6,12.6,1050.0
2015-04-27,12.7,12.7,12.7,12.7,12.7,500.0
2015-04-28,13.0,13.0,13.0,13.0,13.0,100.0
2015-04-29,12.7,12.7,12.7,12.7,12.7,3.0
2015-04-30,13.0,13.0,13.0,13.0,13.0,400.0
2015-05-04,13.0,13.0,13.0,13.0,13.0,0.0
2015-05-05,13.9,14.05,13.55,13.95,13.95,6697.0
2015-05-06,13.3,13.3,13.0,13.0,13.0,5118.0
2015-05-07,13.0,13.0,13.0,13.0,13.0,0.0
2015-05-08,12.45,12.5,12.45,12.45,12.45,187.0
2015-05-11,13.4,13.4,13.0,13.2,13.2,1132.0
2015-05-12,13.2,13.2,13.0,13.0,13.0,128.0
2015-05-13,13.0,13.0,13.0,13.0,13.0,856.0
2015-05-14,13.0,13.0,13.0,13.0,13.0,750.0
2015-05-15,13.2,13.2,13.0,13.1,13.1,850.0
2015-05-18,13.0,13.15,12.5,13.05,13.05,2104.0
2015-05-19,13.0,13.0,13.0,13.0,13.0,100.0
2015-05-20,13.0,13.0,13.0,13.0,13.0,401.0
2015-05-21,13.25,13.25,13.0,13.0,13.0,1010.0
2015-05-22,13.0,13.0,13.0,13.0,13.0,35.0
2015-05-25,13.0,13.5,13.0,13.0,13.0,2685.0
2015-05-26,13.75,13.75,12.55,13.0,13.0,6375.0
2015-05-27,14.45,14.45,12.65,13.0,13.0,174.0
2015-05-28,13.0,14.8,12.7,12.95,12.95,5388.0
2015-05-29,12.7,13.05,12.65,13.0,13.0,4986.0
2015-06-01,13.0,14.0,13.0,13.85,13.85,4615.0
2015-06-02,13.85,13.85,13.85,13.85,13.85,0.0
2015-06-03,13.5,13.5,12.4,12.4,12.4,437.0
2015-06-04,12.3,13.35,12.3,13.3,13.3,300.0
2015-06-05,12.0,12.0,12.0,12.0,12.0,525.0
2015-06-08,12.1,12.6,12.0,12.0,12.0,6353.0
2015-06-09,11.7,11.7,11.7,11.7,11.7,70.0
2015-06-10,12.05,12.05,11.55,11.55,11.55,806.0
2015-06-11,11.65,12.65,11.65,12.65,12.65,344.0
2015-06-12,12.65,12.65,12.65,12.65,12.65,0.0
2015-06-15,12.65,12.75,11.4,12.0,12.0,647.0
2015-06-16,12.0,12.5,12.0,12.45,12.45,3159.0
2015-06-17,12.0,12.7,12.0,12.7,12.7,1857.0
2015-06-18,11.95,13.3,11.95,13.0,13.0,4367.0
2015-06-19,12.5,13.25,12.5,13.25,13.25,1797.0
2015-06-22,13.25,13.25,13.25,13.25,13.25,0.0
2015-06-23,12.85,13.0,11.95,11.95,11.95,3750.0
2015-06-24,12.5,12.7,12.05,12.05,12.05,1220.0
