Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,18.9,18.9,18.0,18.0,18.0,3577.0
2015-03-31,17.1,17.1,17.1,17.1,17.1,25.0
2015-04-01,16.25,16.25,16.25,16.25,16.25,200.0
2015-04-06,16.25,16.25,16.25,16.25,16.25,0.0
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,6.1,6.7,6.1,6.35,6.35,11232.0
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,5.7,5.75,5.45,5.45,5.45,4435.0
2015-05-15,5.25,5.25,5.2,5.2,5.2,5938.0
2015-05-18,4.95,4.95,4.95,4.95,4.95,10001.0
2015-05-19,4.85,5.1,4.75,4.95,4.95,853.0
2015-05-20,4.9,4.9,4.75,4.75,4.75,24833.0
2015-05-21,4.6,4.95,4.55,4.55,4.55,2461.0
2015-05-22,4.35,4.55,4.35,4.35,4.35,12628.0
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,3.8,4.0,3.8,3.95,3.95,205.0
2015-05-29,4.0,4.0,3.8,3.8,3.8,1478.0
2015-06-01,3.9,3.95,3.65,3.95,3.95,10421.0
2015-06-02,,,,,,
2015-06-03,3.95,3.95,3.8,3.8,3.8,2050.0
2015-06-04,,,,,,
2015-06-05,3.8,3.8,3.6,3.8,3.8,1609.0
2015-06-08,,,,,,
2015-06-09,,,,,,
2015-06-10,3.75,3.8,3.75,3.8,3.8,960.0
2015-06-11,3.7,3.9,3.7,3.9,3.9,1415.0
2015-06-12,,,,,,
2015-06-15,3.6,3.9,3.6,3.9,3.9,438.0
