Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,16.1,16.35,16.0,16.049999,15.259874,179502.0
2015-01-02,16.5,16.75,16.15,16.4,15.592644,512003.0
2015-01-05,16.5,16.549999,15.8,15.9,15.117258999999999,341990.0
2015-01-06,15.95,15.95,14.9,15.25,14.499258,445840.0
2015-01-07,15.2,16.200001,15.0,15.95,15.164798000000001,499243.0
2015-01-08,16.25,17.1,16.200001,16.549999,15.73526,1085127.0
2015-01-09,17.15,17.200001,16.5,16.6,15.7828,895752.0
2015-01-12,16.75,17.5,16.65,17.1,16.258184,1025284.0
2015-01-13,17.200001,17.5,16.799999,17.1,16.258184,496337.0
2015-01-14,17.25,17.450001,17.0,17.049999,16.210644,490137.0
2015-01-15,16.950001,17.450001,16.85,16.950001,16.11557,316316.0
2015-01-16,17.299999,17.299999,16.299999,16.5,15.687722,259437.0
2015-01-19,16.6,17.0,16.5,16.549999,15.73526,360364.0
2015-01-20,16.85,16.9,16.4,16.450001,15.640184,192070.0
2015-01-21,16.450001,16.75,16.25,16.4,15.592644,242380.0
2015-01-22,16.299999,16.6,16.049999,16.200001,15.402492,379446.0
2015-01-23,16.299999,16.35,15.85,16.0,15.212337,267223.0
2015-01-27,16.0,16.35,15.75,15.8,15.022182,162561.0
2015-01-28,15.5,15.85,15.5,15.6,14.832028,219554.0
2015-01-29,15.6,15.6,15.25,15.3,14.546798,247486.0
2015-01-30,15.25,15.6,15.2,15.25,14.499258,161663.0
2015-02-02,15.3,15.6,15.15,15.25,14.499258,171856.0
2015-02-03,15.25,16.4,15.25,16.25,15.450028,309461.0
2015-02-04,16.5,16.85,16.049999,16.35,15.545107000000002,385352.0
2015-02-05,16.1,16.6,15.75,15.95,15.164798000000001,174500.0
2015-02-06,17.1,17.75,16.35,16.799999,15.972952,1735034.0
2015-02-09,16.799999,17.299999,16.0,16.200001,15.402492,578373.0
2015-02-10,16.1,16.5,15.8,15.9,15.117258999999999,395175.0
2015-02-11,16.049999,16.85,15.6,16.549999,15.73526,734324.0
2015-02-12,16.9,17.0,16.049999,16.65,15.830338000000001,775112.0
2015-02-13,16.5,17.0,16.450001,16.549999,15.73526,255814.0
2015-02-16,16.950001,16.950001,16.15,16.25,15.450028,361409.0
2015-02-18,16.25,16.700001,16.200001,16.6,15.7828,339765.0
2015-02-19,16.4,17.450001,16.4,16.799999,15.972952,1244949.0
2015-02-20,17.299999,18.700001,16.700001,17.9,17.018801,3500422.0
2015-02-23,18.1,18.4,17.35,17.65,16.781107000000002,961170.0
2015-02-24,18.0,18.0,17.1,17.200001,16.353262,345253.0
2015-02-25,17.15,17.5,16.549999,16.75,15.925413,372711.0
2015-02-26,16.799999,16.9,16.299999,16.4,15.592644,229125.0
2015-02-27,16.35,16.9,16.35,16.700001,15.877877,303775.0
2015-02-28,,,,,,
2015-03-02,16.65,16.85,16.35,16.4,15.592644,336633.0
2015-03-03,16.5,16.65,16.35,16.5,15.687722,335192.0
2015-03-04,16.700001,16.75,16.0,16.200001,15.402492,392099.0
2015-03-05,16.5,16.6,16.049999,16.1,15.307414000000001,163417.0
2015-03-09,16.1,16.1,15.6,15.65,14.879566,258117.0
2015-03-10,15.7,16.1,15.55,15.7,14.927105,157136.0
2015-03-11,15.9,15.9,15.35,15.5,14.73695,253410.0
2015-03-12,15.65,15.9,15.4,15.75,14.974645,216331.0
2015-03-13,15.8,15.8,15.15,15.4,14.641874,248723.0
2015-03-16,15.35,15.55,15.1,15.15,14.404181,150690.0
2015-03-17,15.2,15.45,15.05,15.1,14.356643,122898.0
2015-03-18,15.15,15.35,15.05,15.15,14.404181,107359.0
2015-03-19,15.4,15.45,14.75,15.0,14.261566,251405.0
2015-03-20,15.15,15.2,14.6,14.7,13.976335,187773.0
2015-03-23,14.7,14.9,14.35,14.4,13.691101999999999,259401.0
2015-03-24,14.4,14.5,14.0,14.1,13.405872,271044.0
2015-03-25,14.1,14.85,14.0,14.1,13.405872,146076.0
2015-03-26,14.0,14.05,13.8,13.95,13.263256,114289.0
2015-03-27,14.15,14.25,13.7,13.85,13.168179,493163.0
