Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,11.2,12.15,11.2,11.95,11.95,8181.0
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,11.0,11.0,10.6,10.8,10.8,2102.0
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,11.4,12.7,11.4,11.5,11.5,1214.0
2015-01-28,11.2,12.55,11.2,12.5,12.5,1353.0
2015-01-29,11.55,13.75,11.35,12.75,12.75,9887.0
2015-01-30,12.75,12.95,11.5,11.5,11.5,5793.0
2015-02-02,11.0,11.25,10.8,11.0,11.0,6700.0
2015-02-03,11.65,11.65,10.6,11.5,11.5,301.0
2015-02-04,10.8,11.6,10.65,11.6,11.6,951.0
2015-02-05,10.95,11.5,10.5,10.9,10.9,9620.0
2015-02-06,10.7,11.5,10.7,10.8,10.8,3370.0
2015-02-09,10.2,11.2,9.7,11.2,11.2,2991.0
2015-02-10,10.35,10.95,10.35,10.9,10.9,6088.0
2015-02-11,,,,,,
2015-02-12,10.25,10.25,10.25,10.25,10.25,0.0
2015-02-13,,,,,,
2015-02-16,10.0,10.0,9.8,9.85,9.85,769.0
2015-02-18,9.85,9.85,9.85,9.85,9.85,0.0
2015-02-19,10.7,10.7,9.65,9.65,9.65,352.0
2015-02-20,,,,,,
2015-02-23,,,,,,
2015-02-24,9.65,10.35,9.65,10.35,10.35,102.0
2015-02-25,9.3,10.0,8.7,9.5,9.5,4377.0
2015-02-26,9.3,9.3,8.7,8.7,8.7,202.0
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,9.25,9.25,9.1,9.1,9.1,700.0
2015-03-03,,,,,,
2015-03-04,,,,,,
2015-03-05,,,,,,
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,8.3,9.6,8.3,8.45,8.45,851.0
2015-03-13,,,,,,
2015-03-16,8.5,9.25,8.1,8.4,8.4,1630.0
2015-03-17,,,,,,
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,8.35,8.6,8.35,8.6,8.6,2155.0
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-06,9.6,10.0,9.3,10.0,10.0,5345.0
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,10.75,11.5,10.75,10.85,10.85,1477.0
2015-04-16,10.6,11.25,9.7,11.05,11.05,24.0
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,10.0,10.65,9.85,10.15,10.15,642.0
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,9.8,10.75,9.35,9.65,9.65,256.0
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,10.15,10.15,10.15,10.15,10.15,50.0
2015-05-15,9.55,10.05,9.5,9.65,9.65,1200.0
2015-05-18,9.5,9.8,8.7,9.25,9.25,4610.0
2015-05-19,9.25,9.25,8.9,9.2,9.2,625.0
2015-05-20,9.0,9.8,8.95,9.25,9.25,680.0
2015-05-21,9.25,9.25,9.25,9.25,9.25,0.0
2015-05-22,9.7,9.7,9.7,9.7,9.7,50.0
2015-05-25,9.1,9.5,9.0,9.15,9.15,946.0
2015-05-26,9.15,9.15,9.0,9.0,9.0,1712.0
2015-05-27,8.8,9.3,8.25,9.3,9.3,3309.0
2015-05-28,9.0,9.0,8.5,9.0,9.0,2015.0
2015-05-29,8.75,9.0,8.55,8.6,8.6,530.0
2015-06-01,9.45,9.45,8.6,9.0,9.0,101.0
2015-06-02,9.0,9.0,9.0,9.0,9.0,0.0
2015-06-03,8.05,8.95,8.0,8.95,8.95,1049.0
2015-06-04,8.75,8.9,8.05,8.5,8.5,1427.0
2015-06-05,8.2,8.2,8.1,8.1,8.1,827.0
2015-06-08,7.6,7.6,7.6,7.6,7.6,105.0
2015-06-09,8.35,8.35,8.35,8.35,8.35,600.0
2015-06-10,,,,,,
2015-06-11,,,,,,
2015-06-12,8.0,9.2,8.0,9.2,9.2,4162.0
2015-06-15,9.0,10.1,9.0,10.1,10.1,234.0
2015-06-16,10.0,10.55,9.6,9.95,9.95,9050.0
2015-06-17,9.95,10.4,9.5,10.3,10.3,8420.0
2015-06-18,10.65,10.7,9.8,9.8,9.8,2895.0
2015-06-19,10.15,10.2,9.55,10.2,10.2,3508.0
2015-06-22,,,,,,
2015-06-23,9.4,10.0,9.4,9.9,9.9,1950.0
2015-06-24,,,,,,
2015-06-25,9.5,9.7,9.25,9.7,9.7,3528.0
2015-06-26,9.3,9.3,9.3,9.3,9.3,100.0
2015-06-29,9.3,9.3,9.3,9.3,9.3,0.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,9.25,9.25,9.25,9.25,9.25,751.0
2015-07-06,9.25,9.25,9.25,9.25,9.25,500.0
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,9.75,9.75,8.35,9.75,9.75,3528.0
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,13.25,13.4,12.65,13.4,13.4,6869.0
2015-08-05,,,,,,
2015-08-06,14.75,14.75,14.75,14.75,14.75,5241.0
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,10.4,10.5,10.4,10.5,10.5,2245.0
2015-08-26,10.0,11.0,10.0,10.3,10.3,5920.0
2015-08-27,10.05,10.8,10.05,10.8,10.8,5657.0
2015-08-28,10.8,11.25,10.75,11.25,11.25,3950.0
2015-08-31,10.8,11.0,10.75,10.75,10.75,1184.0
2015-09-01,10.75,10.75,10.25,10.25,10.25,1310.0
2015-09-02,10.05,10.05,9.75,9.75,9.75,1880.0
2015-09-03,9.5,10.2,9.4,9.45,9.45,1732.0
2015-09-04,9.2,9.2,9.0,9.0,9.0,1300.0
2015-09-07,9.0,9.0,8.9,9.0,9.0,350.0
2015-09-08,9.0,9.45,8.6,8.75,8.75,6048.0
2015-09-09,8.5,9.15,8.5,9.05,9.05,3676.0
2015-09-10,9.15,9.5,9.15,9.5,9.5,136.0
2015-09-11,9.5,9.95,9.5,9.9,9.9,300.0
2015-09-14,9.9,9.9,9.9,9.9,9.9,0.0
2015-09-15,10.25,10.35,10.25,10.35,10.35,2096.0
2015-09-16,,,,,,
2015-09-18,10.1,10.5,10.0,10.2,10.2,3250.0
2015-09-21,10.7,10.7,9.7,10.55,10.55,2505.0
2015-09-22,10.2,10.55,10.2,10.55,10.55,45.0
2015-09-23,10.9,10.9,10.75,10.75,10.75,55.0
2015-09-24,10.8,10.85,10.8,10.85,10.85,20.0
2015-09-28,10.85,10.85,10.35,10.35,10.35,204.0
2015-09-29,9.85,10.7,9.85,9.9,9.9,5232.0
2015-09-30,9.5,10.35,9.5,9.6,9.6,1821.0
2015-10-01,,,,,,
2015-10-05,9.65,10.9,9.6,10.5,10.5,988.0
2015-10-06,,,,,,
2015-10-07,,,,,,
2015-10-08,,,,,,
2015-10-09,10.5,10.5,9.9,10.4,10.4,3200.0
2015-10-12,,,,,,
2015-10-13,10.5,11.15,10.35,11.1,11.1,10921.0
2015-10-14,11.3,11.7,10.15,10.9,10.9,4633.0
2015-10-15,10.25,11.2,10.25,11.05,11.05,1645.0
2015-10-16,10.4,11.25,10.4,11.1,11.1,2650.0
2015-10-19,11.45,11.45,10.35,10.5,10.5,512.0
2015-10-20,,,,,,
2015-10-21,10.6,11.1,10.6,10.6,10.6,96.0
2015-10-23,10.6,11.5,10.55,11.2,11.2,10450.0
