Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,19.049999,19.799999,19.049999,19.049999,19.049999,1548.0
2015-01-02,18.799999,20.200001,18.799999,19.450001,19.450001,10531.0
2015-01-05,19.5,20.200001,19.0,19.0,19.0,8380.0
2015-01-06,19.0,19.4,17.700001,18.5,18.5,4967.0
2015-01-07,19.950001,19.950001,18.4,19.0,19.0,3379.0
2015-01-08,19.0,19.549999,19.0,19.4,19.4,6562.0
2015-01-09,21.5,21.5,19.0,19.15,19.15,6026.0
2015-01-12,20.200001,20.200001,18.6,19.25,19.25,3657.0
2015-01-13,19.9,21.450001,19.1,21.049999,21.049999,24201.0
2015-01-14,21.450001,22.4,20.9,21.65,21.65,21197.0
2015-01-15,23.5,23.5,20.799999,21.9,21.9,13755.0
2015-01-16,21.5,23.200001,21.1,23.0,23.0,15577.0
2015-01-19,23.85,23.85,22.299999,22.85,22.85,14753.0
2015-01-20,22.5,22.9,21.700001,22.5,22.5,12425.0
2015-01-21,22.5,24.5,22.0,22.6,22.6,23914.0
2015-01-22,23.799999,25.049999,22.549999,24.049999,24.049999,190707.0
2015-01-23,24.799999,25.049999,23.6,24.049999,24.049999,64568.0
2015-01-27,24.049999,25.6,23.549999,24.1,24.1,33556.0
2015-01-28,23.85,24.4,23.35,23.5,23.5,22039.0
2015-01-29,23.35,23.700001,21.700001,22.5,22.5,37130.0
2015-01-30,22.549999,22.549999,21.1,21.950001,21.950001,6194.0
2015-02-02,24.450001,24.450001,21.15,21.950001,21.950001,3663.0
2015-02-03,23.9,23.9,21.75,21.799999,21.799999,5847.0
2015-02-04,22.049999,23.65,21.700001,22.5,22.5,47228.0
2015-02-05,22.950001,26.9,22.950001,24.0,24.0,265633.0
2015-02-06,24.85,26.0,23.5,24.75,24.75,63338.0
2015-02-09,25.25,25.25,22.85,23.450001,23.450001,12168.0
2015-02-10,23.25,23.85,22.65,22.799999,22.799999,5813.0
2015-02-11,24.15,24.15,22.549999,22.75,22.75,12100.0
2015-02-12,22.5,22.75,22.200001,22.6,22.6,9546.0
2015-02-13,22.4,23.9,21.799999,22.450001,22.450001,24960.0
2015-02-16,22.200001,24.15,21.6,23.25,23.25,18949.0
2015-02-18,23.25,26.9,23.0,26.049999,26.049999,79928.0
2015-02-19,27.5,27.5,25.299999,26.25,26.25,39449.0
2015-02-20,26.75,28.85,25.299999,26.35,26.35,148582.0
2015-02-23,26.1,28.0,26.1,26.85,26.85,47199.0
2015-02-24,27.6,29.299999,26.5,28.9,28.9,111064.0
2015-02-25,28.5,32.099998,28.5,29.9,29.9,349001.0
2015-02-26,30.5,31.5,28.549999,28.9,28.9,50681.0
2015-02-27,29.9,32.849998,29.5,32.25,32.25,259305.0
2015-02-28,,,,,,
2015-03-02,31.6,31.700001,28.5,28.799999,28.799999,60009.0
2015-03-03,29.75,32.0,29.75,31.65,31.65,81180.0
2015-03-04,32.5,32.5,28.65,29.700001,29.700001,57523.0
2015-03-05,29.4,30.0,28.700001,29.049999,29.049999,13690.0
2015-03-09,29.049999,29.9,28.25,28.35,28.35,26159.0
2015-03-10,28.549999,31.049999,28.049999,29.700001,29.700001,85046.0
2015-03-11,29.5,31.4,29.0,30.299999,30.299999,37740.0
2015-03-12,30.5,30.799999,29.25,29.4,29.4,18375.0
2015-03-13,29.1,29.75,28.1,28.200001,28.200001,16872.0
2015-03-16,28.0,29.200001,27.15,27.6,27.6,19784.0
2015-03-17,27.799999,29.5,27.0,27.15,27.15,12046.0
2015-03-18,27.0,27.9,26.549999,27.0,27.0,19104.0
2015-03-19,27.0,28.0,26.299999,26.85,26.85,19345.0
2015-03-20,26.4,26.799999,25.5,26.049999,26.049999,12893.0
2015-03-23,27.450001,27.450001,25.200001,26.049999,26.049999,43524.0
2015-03-24,25.799999,26.5,25.1,25.35,25.35,30731.0
2015-03-25,25.35,25.65,24.65,25.1,25.1,5905.0
2015-03-26,25.5,25.5,23.25,23.85,23.85,22415.0
2015-03-27,25.6,25.75,24.200001,24.9,24.9,19574.0
2015-03-30,24.5,26.5,23.549999,25.950001,25.950001,3014.0
2015-03-31,26.15,27.0,25.6,26.0,26.0,16164.0
2015-04-01,26.85,28.0,26.25,27.9,27.9,20563.0
2015-04-06,27.9,30.549999,27.799999,30.299999,30.299999,67371.0
2015-04-07,29.799999,30.5,28.85,30.25,30.25,23097.0
2015-04-08,30.0,30.5,28.299999,29.549999,29.549999,28816.0
2015-04-09,29.549999,31.35,29.549999,30.700001,30.700001,47825.0
2015-04-10,31.6,31.6,29.75,30.0,30.0,9337.0
2015-04-13,30.9,31.5,29.700001,30.9,30.9,18086.0
2015-04-15,30.9,36.599998,30.299999,33.75,33.75,385579.0
2015-04-16,34.200001,36.5,32.099998,35.650002,35.650002,149107.0
2015-04-17,35.900002,38.849998,35.200001,38.0,38.0,239318.0
