Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,24.1,26.4,23.65,26.1,24.997129,1812978.0
2015-01-02,26.450001,27.25,25.1,25.25,24.183046,1560811.0
2015-01-05,25.450001,26.4,24.75,25.450001,24.374596,1170357.0
2015-01-06,25.0,25.5,24.15,24.35,23.321077,720383.0
2015-01-07,24.35,24.549999,23.25,23.450001,22.459106,1172843.0
2015-01-08,23.6,25.0,23.6,24.75,23.704172,684147.0
2015-01-09,24.65,25.049999,24.15,24.450001,23.416853,506488.0
2015-01-12,24.15,25.0,24.15,24.65,23.6084,548963.0
2015-01-13,24.5,25.1,23.9,24.15,23.129528,722213.0
2015-01-14,24.15,24.65,23.700001,23.75,22.746429,431831.0
2015-01-15,23.75,24.450001,23.5,23.700001,22.698542,405572.0
2015-01-16,23.65,24.200001,23.5,23.700001,22.698542,276330.0
2015-01-19,24.0,24.299999,23.700001,23.85,22.842205,434699.0
2015-01-20,23.9,24.1,23.5,23.700001,22.698542,530867.0
2015-01-21,23.6,24.1,23.6,23.75,22.746429,429574.0
2015-01-22,23.6,25.450001,23.6,24.35,23.321077,933161.0
2015-01-23,24.65,25.0,23.75,23.950001,22.937979000000002,546865.0
2015-01-27,23.950001,24.4,23.549999,23.700001,22.698542,233961.0
2015-01-28,23.75,23.950001,22.799999,22.950001,21.980234,476383.0
2015-01-29,23.0,23.049999,21.85,22.299999,21.357698000000003,1035297.0
2015-01-30,22.35,25.0,22.35,24.25,23.225304,1490744.0
2015-02-02,24.15,25.15,23.85,24.549999,23.512625,711999.0
2015-02-03,24.85,24.950001,23.700001,24.049999,23.033752,342646.0
2015-02-04,24.0,24.6,23.549999,23.700001,22.698542,423329.0
2015-02-05,23.549999,23.950001,23.0,23.299999,22.315445,363376.0
2015-02-06,23.0,24.299999,22.75,23.700001,22.698542,583203.0
2015-02-09,24.450001,24.65,23.25,23.35,22.363331,820745.0
2015-02-10,21.549999,21.549999,18.700001,18.700001,17.909821,3384727.0
2015-02-11,18.75,18.950001,16.5,18.25,17.478835999999998,1318847.0
2015-02-12,18.6,19.85,18.15,18.950001,18.149258,1007001.0
2015-02-13,19.0,19.4,18.799999,19.1,18.292919,393247.0
2015-02-16,19.4,19.4,18.700001,18.799999,18.005594,310479.0
2015-02-18,18.799999,19.1,18.4,18.65,18.250235,610644.0
2015-02-19,18.450001,18.9,18.200001,18.299999,17.907738000000002,306441.0
2015-02-20,18.35,18.9,17.75,18.450001,18.054523,493025.0
2015-02-23,18.299999,18.85,18.15,18.200001,17.809883,267210.0
2015-02-24,18.4,18.549999,17.700001,17.85,17.467384,326340.0
2015-02-25,17.85,18.200001,17.0,17.299999,16.929173000000002,396424.0
2015-02-26,17.200001,17.4,16.9,17.049999,16.68453,216069.0
2015-02-27,17.1,17.549999,16.799999,17.35,16.978102,244030.0
2015-02-28,,,,,,
2015-03-02,17.299999,18.25,17.15,17.65,17.271669,426896.0
2015-03-03,17.65,18.75,17.450001,18.4,18.005594,501833.0
2015-03-04,18.4,18.799999,18.049999,18.200001,17.809883,225015.0
2015-03-05,18.25,18.6,17.700001,17.799999,17.418454999999998,188337.0
2015-03-09,17.799999,18.299999,17.15,17.25,16.880245000000002,288841.0
2015-03-10,17.35,17.799999,17.1,17.35,16.978102,283021.0
2015-03-11,17.25,17.5,17.0,17.1,16.733461,190642.0
2015-03-12,17.4,17.6,17.0,17.1,16.733461,207325.0
2015-03-13,17.299999,17.299999,16.25,16.4,16.048466,313354.0
2015-03-16,16.65,16.65,14.75,15.0,14.678474,909230.0
2015-03-17,15.2,15.4,14.75,14.95,14.629546,637066.0
2015-03-18,15.25,16.85,14.9,15.55,15.216685,2098467.0
2015-03-19,15.65,16.75,15.65,16.200001,15.852753,1016287.0
2015-03-20,16.4,16.799999,15.9,16.1,15.754895999999999,631425.0
2015-03-23,16.200001,16.35,15.85,15.9,15.559182,413250.0
