Date,Open,High,Low,Close,Adj Close,Volume
2016-08-18,5.4,5.4,5.4,5.4,5.4,1652.0
2016-08-19,5.15,5.65,5.15,5.65,5.65,1100.0
2016-08-22,5.65,5.65,5.65,5.65,5.65,0.0
2016-08-23,5.65,5.65,5.65,5.65,5.65,0.0
2016-08-24,5.65,5.65,5.65,5.65,5.65,0.0
2016-08-25,5.65,5.65,5.65,5.65,5.65,0.0
2016-08-26,5.65,5.65,5.65,5.65,5.65,0.0
2016-08-29,5.4,5.4,5.4,5.4,5.4,800.0
2016-08-30,5.15,5.4,5.15,5.4,5.4,300.0
2016-08-31,5.15,5.2,5.15,5.2,5.2,400.0
2016-09-01,5.2,5.2,5.2,5.2,5.2,0.0
2016-09-02,5.0,5.0,5.0,5.0,5.0,400.0
2016-09-06,5.0,5.0,5.0,5.0,5.0,0.0
2016-09-07,,,,,,
2016-09-08,4.6,4.95,4.6,4.9,4.9,1600.0
2016-09-09,4.7,4.9,4.7,4.85,4.85,5400.0
2016-09-12,,,,,,
2016-09-14,,,,,,
2016-09-15,4.85,4.85,4.85,4.85,4.85,0.0
2016-09-16,,,,,,
2016-09-19,,,,,,
2016-09-20,4.65,4.65,4.65,4.65,4.65,0.0
2016-09-21,4.85,4.85,4.85,4.85,4.85,570.0
2016-09-22,4.85,4.85,4.65,4.65,4.65,956.0
2016-09-23,4.65,4.65,4.45,4.45,4.45,902.0
2016-09-26,4.3,4.45,4.3,4.45,4.45,20.0
2016-09-27,4.65,4.65,4.65,4.65,4.65,8000.0
2016-09-28,4.55,4.55,4.55,4.55,4.55,1000.0
2016-09-29,,,,,,
2016-09-30,,,,,,
2016-10-03,4.4,4.5,4.4,4.5,4.5,200.0
2016-10-04,,,,,,
2016-10-05,,,,,,
2016-10-06,,,,,,
2016-10-07,4.5,4.55,4.25,4.5,4.5,2100.0
2016-10-10,,,,,,
2016-10-13,4.55,4.55,4.55,4.55,4.55,5.0
2016-10-14,4.35,4.35,4.35,4.35,4.35,100.0
2016-10-17,4.35,4.35,4.25,4.35,4.35,2500.0
2016-10-18,4.15,4.15,4.15,4.15,4.15,100.0
2016-10-19,4.35,4.35,4.35,4.35,4.35,5.0
2016-10-20,4.55,4.55,4.45,4.55,4.55,16340.0
2016-10-21,4.75,4.75,4.75,4.75,4.75,1298.0
2016-10-24,4.95,4.95,4.95,4.95,4.95,2000.0
2016-10-25,5.05,5.05,4.8,5.05,5.05,235.0
2016-10-26,5.0,5.0,4.8,5.0,5.0,225.0
2016-10-27,5.15,5.15,5.15,5.15,5.15,1000.0
2016-10-28,5.15,5.15,5.15,5.15,5.15,0.0
2016-11-01,5.15,5.15,5.05,5.05,5.05,200.0
2016-11-02,5.05,5.05,5.05,5.05,5.05,0.0
2016-11-03,5.0,5.0,5.0,5.0,5.0,100.0
2016-11-04,5.0,5.0,5.0,5.0,5.0,0.0
2016-11-07,5.0,5.0,5.0,5.0,5.0,0.0
2016-11-08,4.75,4.75,4.75,4.75,4.75,500.0
2016-11-09,4.75,4.75,4.75,4.75,4.75,0.0
2016-11-10,4.75,4.75,4.75,4.75,4.75,0.0
2016-11-11,4.75,4.75,4.75,4.75,4.75,0.0
2016-11-15,4.75,4.9,4.75,4.9,4.9,100.0
2016-11-16,4.9,4.9,4.9,4.9,4.9,0.0
2016-11-17,,,,,,
2016-11-18,,,,,,
2016-11-21,,,,,,
2016-11-22,4.9,4.9,4.9,4.9,4.9,0.0
2016-11-23,4.9,4.9,4.9,4.9,4.9,0.0
2016-11-24,,,,,,
2016-11-25,,,,,,
2016-11-28,,,,,,
2016-11-29,,,,,,
2016-11-30,4.9,4.9,4.9,4.9,4.9,0.0
2016-12-01,4.9,4.9,4.9,4.9,4.9,0.0
2016-12-02,4.9,4.9,4.9,4.9,4.9,0.0
2016-12-05,,,,,,
2016-12-06,,,,,,
2016-12-07,,,,,,
2016-12-08,4.9,4.9,4.9,4.9,4.9,0.0
2016-12-09,,,,,,
2016-12-12,,,,,,
2016-12-13,,,,,,
2016-12-14,,,,,,
2016-12-15,,,,,,
2016-12-16,,,,,,
2016-12-19,,,,,,
2016-12-20,4.9,4.9,4.9,4.9,4.9,0.0
2016-12-21,4.9,4.9,4.9,4.9,4.9,0.0
2016-12-22,4.7,4.7,4.7,4.7,4.7,2418.0
2016-12-23,4.5,4.6,4.5,4.5,4.5,3100.0
2016-12-26,4.5,4.5,4.5,4.5,4.5,0.0
2016-12-27,4.5,4.5,4.5,4.5,4.5,0.0
2016-12-28,4.3,4.3,4.3,4.3,4.3,5386.0
2016-12-29,4.3,4.3,4.3,4.3,4.3,0.0
2016-12-30,4.3,4.3,4.3,4.3,4.3,0.0
2017-01-02,4.3,4.3,4.2,4.3,4.3,2188.0
2017-01-03,4.5,4.5,4.5,4.5,4.5,1000.0
2017-01-04,4.65,4.65,4.65,4.65,4.65,10.0
2017-01-05,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-06,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-09,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-10,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-11,4.45,4.45,4.45,4.45,4.45,500.0
2017-01-12,4.65,4.65,4.3,4.65,4.65,430.0
2017-01-13,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-16,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-17,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-18,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-19,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-20,4.65,4.65,4.65,4.65,4.65,0.0
2017-01-23,4.45,4.45,4.45,4.45,4.45,40.0
2017-01-24,4.45,4.45,4.45,4.45,4.45,0.0
2017-01-25,4.45,4.45,4.45,4.45,4.45,0.0
2017-01-27,4.45,4.45,4.45,4.45,4.45,0.0
2017-01-30,4.45,4.45,4.45,4.45,4.45,0.0
2017-01-31,4.45,4.45,4.45,4.45,4.45,0.0
2017-02-01,,,,,,
2017-02-02,4.45,4.45,4.45,4.45,4.45,0.0
2017-02-03,4.45,4.45,4.45,4.45,4.45,0.0
2017-02-06,4.25,4.25,4.25,4.25,4.25,100.0
2017-02-07,4.25,4.25,4.25,4.25,4.25,0.0
2017-02-08,4.25,4.25,4.25,4.25,4.25,0.0
2017-02-09,,,,,,
2017-02-10,4.2,4.2,4.2,4.2,4.2,0.0
2017-02-13,,,,,,
2017-02-14,4.2,4.2,4.2,4.2,4.2,0.0
2017-02-15,4.3,4.3,4.3,4.3,4.3,25.0
2017-02-16,4.3,4.3,4.3,4.3,4.3,0.0
2017-02-17,4.3,4.3,4.3,4.3,4.3,0.0
2017-02-20,4.3,4.3,4.3,4.3,4.3,0.0
2017-02-21,4.3,4.3,4.3,4.3,4.3,0.0
2017-02-22,,,,,,
2017-02-23,4.15,4.15,4.1,4.15,4.15,2050.0
2017-02-27,4.15,4.15,4.15,4.15,4.15,0.0
2017-02-28,,,,,,
2017-03-01,4.15,4.15,4.15,4.15,4.15,200.0
2017-03-02,,,,,,
2017-03-03,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-06,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-07,,,,,,
2017-03-08,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-09,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-10,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-14,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-15,4.15,4.15,4.15,4.15,4.15,0.0
2017-03-16,4.2,4.2,4.2,4.2,4.2,240.0
2017-03-17,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-20,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-21,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-22,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-23,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-24,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-27,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-28,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-29,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-30,4.2,4.2,4.2,4.2,4.2,0.0
2017-03-31,4.2,4.2,4.2,4.2,4.2,0.0
2017-04-03,4.0,4.0,4.0,4.0,4.0,1000.0
2017-04-05,4.0,4.0,4.0,4.0,4.0,0.0
2017-04-06,4.0,4.0,4.0,4.0,4.0,0.0
2017-04-07,4.05,4.05,4.05,4.05,4.05,2100.0
2017-04-10,4.05,4.05,4.05,4.05,4.05,0.0
2017-04-11,3.85,3.85,3.85,3.85,3.85,300.0
2017-04-12,3.85,3.85,3.85,3.85,3.85,0.0
2017-04-13,3.85,3.85,3.85,3.85,3.85,0.0
2017-04-17,3.85,3.85,3.85,3.85,3.85,0.0
2017-04-18,3.85,3.85,3.85,3.85,3.85,0.0
2017-04-19,3.85,3.85,3.85,3.85,3.85,0.0
2017-04-20,3.85,3.85,3.85,3.85,3.85,0.0
2017-04-21,4.0,4.0,4.0,4.0,4.0,100.0
2017-04-24,4.0,4.0,4.0,4.0,4.0,0.0
2017-04-25,4.0,4.0,4.0,4.0,4.0,0.0
2017-04-26,4.0,4.0,4.0,4.0,4.0,0.0
2017-04-27,4.0,4.0,4.0,4.0,4.0,0.0
2017-04-28,4.0,4.0,4.0,4.0,4.0,0.0
2017-05-02,4.0,4.15,3.8,3.8,3.8,700.0
2017-05-03,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-04,3.8,3.8,3.8,3.8,3.8,900.0
2017-05-05,3.9,3.9,3.9,3.9,3.9,20.0
2017-05-08,3.9,3.9,3.9,3.9,3.9,0.0
2017-05-09,3.9,3.9,3.9,3.9,3.9,0.0
2017-05-10,3.8,3.8,3.8,3.8,3.8,555.0
2017-05-11,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-12,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-15,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-16,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-17,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-18,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-19,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-22,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-23,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-24,,,,,,
2017-05-25,,,,,,
2017-05-26,,,,,,
2017-05-29,,,,,,
2017-05-30,3.8,3.8,3.8,3.8,3.8,0.0
2017-05-31,3.8,3.8,3.8,3.8,3.8,0.0
2017-06-01,3.8,3.8,3.8,3.8,3.8,0.0
