Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,56.549999,63.799999,56.549999,60.150002,59.087166,2303443.0
2015-01-02,60.599998,61.700001,59.799999,60.549999,59.480098999999996,1499659.0
2015-01-05,60.25,62.0,60.25,60.450001,59.381866,672989.0
2015-01-06,59.799999,60.0,57.099998,57.299999,56.287521,753676.0
2015-01-07,56.75,58.099998,55.75,56.450001,55.45254499999999,568164.0
2015-01-08,57.200001,58.400002,57.200001,57.799999,56.778690000000005,518549.0
2015-01-09,58.299999,58.900002,57.099998,57.5,56.483990000000006,517140.0
2015-01-12,57.599998,57.900002,56.700001,57.25,56.238406999999995,255562.0
2015-01-13,57.299999,62.200001,57.25,59.400002,58.350421999999995,2813748.0
2015-01-14,59.400002,61.599998,58.349998,58.700001,57.662785,1022703.0
2015-01-15,59.400002,60.150002,58.400002,58.700001,57.662785,556344.0
2015-01-16,58.700001,60.049999,58.200001,58.599998,57.564552,529016.0
2015-01-19,58.700001,60.0,58.650002,58.950001,57.908370999999995,450656.0
2015-01-20,59.049999,63.0,59.049999,60.75,59.676567000000006,1581869.0
2015-01-21,61.0,61.599998,59.049999,59.200001,58.15395,571021.0
2015-01-22,59.0,60.150002,58.549999,58.849998,57.810134999999995,477899.0
2015-01-23,59.650002,59.650002,57.400002,57.849998,56.827805000000005,666053.0
2015-01-27,57.849998,58.799999,57.049999,57.599998,56.582226,460493.0
2015-01-28,57.75,58.75,57.0,57.450001,56.434875,429842.0
2015-01-29,57.900002,58.25,56.799999,56.950001,55.943709999999996,342954.0
2015-01-30,57.299999,59.099998,57.200001,57.650002,56.63134399999999,533360.0
2015-02-02,57.799999,58.299999,57.349998,57.75,56.729576,271178.0
2015-02-03,58.0,58.5,57.0,57.349998,56.336639,306881.0
2015-02-04,57.400002,58.799999,57.049999,58.299999,57.26985500000001,589588.0
2015-02-05,58.599998,59.599998,56.5,57.099998,56.091060999999996,735867.0
2015-02-06,57.400002,57.75,56.200001,56.5,55.501663,358520.0
2015-02-09,56.599998,56.599998,54.650002,54.900002,53.929931999999994,278964.0
2015-02-10,54.799999,56.049999,53.75,54.200001,53.242306000000006,333844.0
2015-02-11,54.950001,55.849998,54.5,55.200001,54.22463199999999,392487.0
2015-02-12,55.25,55.599998,54.549999,54.950001,53.979046,410020.0
2015-02-13,55.5,56.200001,55.0,55.150002,54.175518000000004,367428.0
2015-02-16,55.599998,56.450001,55.0,55.450001,54.470215,390620.0
2015-02-18,55.450001,56.849998,55.25,56.200001,55.206963,497225.0
2015-02-19,56.950001,63.099998,56.400002,60.099998,59.038047999999996,5506185.0
