Date,Open,High,Low,Close,Adj Close,Volume
2015-01-27,43.549999,45.450001,41.200001,44.0,44.0,15419.0
2015-01-28,42.150002,44.25,42.150002,43.900002,43.900002,303.0
2015-01-29,42.549999,45.0,42.549999,45.0,45.0,1001.0
2015-01-30,45.0,45.0,45.0,45.0,45.0,1.0
2015-02-02,42.75,45.450001,42.75,45.0,45.0,4515.0
2015-02-03,43.049999,46.0,43.049999,43.700001,43.700001,310.0
2015-02-04,44.75,45.0,42.849998,43.200001,43.200001,942.0
2015-02-05,43.0,45.349998,43.0,45.0,45.0,4014.0
2015-02-06,46.0,46.0,42.75,43.150002,43.150002,4928.0
2015-02-09,42.099998,44.799999,41.049999,44.799999,44.799999,536.0
2015-02-10,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
2015-02-11,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
2015-02-12,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
2015-02-13,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
2015-02-16,44.0,44.75,43.0,43.0,43.0,40596.0
2015-02-18,43.0,45.150002,43.0,45.150002,45.150002,11451.0
2015-02-19,45.0,45.0,43.299999,43.299999,43.299999,201.0
2015-02-20,44.799999,45.450001,44.799999,45.049999,45.049999,6293.0
2015-02-23,44.0,45.0,44.0,45.0,45.0,2703.0
2015-02-24,,,,,,
2015-02-25,43.0,43.0,43.0,43.0,43.0,1.0
2015-02-26,,,,,,
2015-02-27,42.049999,43.900002,42.049999,43.049999,43.049999,544.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,,,,,,
2015-03-04,,,,,,
2015-03-05,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
2015-03-09,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
2015-03-10,42.650002,45.450001,42.650002,44.950001,44.950001,503.0
2015-03-11,,,,,,
2015-03-12,43.25,43.25,43.25,43.25,43.25,100.0
2015-03-13,,,,,,
2015-03-16,42.75,42.75,42.75,42.75,42.75,94.0
2015-03-17,,,,,,
2015-03-18,40.0,42.599998,40.0,42.5,42.5,5997.0
2015-03-19,,,,,,
2015-03-20,44.5,44.5,41.400002,41.400002,41.400002,951.0
2015-03-23,41.400002,43.450001,40.450001,43.450001,43.450001,2360.0
2015-03-24,43.5,43.5,41.450001,41.849998,41.849998,621.0
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
