Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,14.7,16.35,14.7,15.3,15.3,4637.0
2015-01-02,15.3,16.0,15.25,15.45,15.45,6259.0
2015-01-05,15.95,16.9,15.45,16.75,16.75,26032.0
2015-01-06,16.85,16.85,15.8,16.049999,16.049999,13780.0
2015-01-07,15.15,17.450001,15.1,15.25,15.25,9488.0
2015-01-08,15.7,15.95,15.5,15.6,15.6,5521.0
2015-01-09,15.9,15.9,15.4,15.5,15.5,2308.0
2015-01-12,16.200001,16.200001,15.15,15.6,15.6,2485.0
2015-01-13,15.3,16.299999,15.3,15.75,15.75,14041.0
2015-01-14,15.3,15.85,14.85,15.0,15.0,10635.0
2015-01-15,15.05,15.9,14.85,15.1,15.1,7271.0
2015-01-16,15.1,16.049999,15.1,15.2,15.2,2446.0
2015-01-19,15.25,16.200001,15.25,15.6,15.6,10634.0
2015-01-20,15.65,16.1,15.65,15.9,15.9,7992.0
2015-01-21,16.0,16.450001,15.85,16.1,16.1,7090.0
2015-01-22,16.5,16.5,15.9,16.0,16.0,4870.0
2015-01-23,16.65,16.65,15.2,15.6,15.6,6463.0
2015-01-27,15.6,15.7,15.6,15.6,15.6,719.0
2015-01-28,15.5,15.75,15.2,15.45,15.45,4510.0
2015-01-29,15.2,15.6,14.8,15.6,15.6,5054.0
2015-01-30,15.35,15.5,14.75,15.35,15.35,5086.0
2015-02-02,15.5,16.0,14.8,15.0,15.0,10205.0
2015-02-03,14.95,15.6,14.6,14.75,14.75,7412.0
2015-02-04,15.35,15.35,14.75,14.85,14.85,4062.0
2015-02-05,14.9,15.3,14.5,14.55,14.55,10427.0
2015-02-06,14.6,14.85,14.4,14.8,14.8,3951.0
2015-02-09,14.8,14.8,14.15,14.8,14.8,4035.0
2015-02-10,15.8,15.8,13.65,14.8,14.8,1922.0
2015-02-11,14.5,14.9,14.5,14.9,14.9,2470.0
2015-02-12,14.5,14.6,13.3,14.35,14.35,10190.0
2015-02-13,15.0,15.0,14.15,14.65,14.65,16353.0
2015-02-16,14.35,14.55,14.35,14.4,14.4,2854.0
2015-02-18,14.4,15.1,14.0,14.75,14.75,5754.0
2015-02-19,14.9,14.9,14.0,14.25,14.25,12466.0
2015-02-20,14.5,14.7,14.15,14.3,14.3,11834.0
2015-02-23,14.1,14.25,13.7,14.05,14.05,3801.0
2015-02-24,14.35,14.35,13.9,14.1,14.1,3858.0
2015-02-25,14.15,14.15,13.2,13.85,13.85,13274.0
2015-02-26,14.1,14.15,13.3,13.85,13.85,5181.0
2015-02-27,13.95,14.75,13.8,14.0,14.0,1914.0
2015-02-28,,,,,,
2015-03-02,14.3,14.3,13.55,13.85,13.85,12680.0
2015-03-03,14.0,14.0,13.5,13.6,13.6,12764.0
