Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,19.35,19.35,18.4,18.4,18.4,111364.0
2016-06-16,,,,,,
2016-06-17,,,,,,
2016-06-20,15.85,15.85,15.85,15.85,15.85,4623.0
2016-06-21,15.1,15.85,15.1,15.1,15.1,508055.0
2016-06-22,14.55,14.8,14.35,14.35,14.35,492096.0
2016-06-23,13.65,13.65,13.65,13.65,13.65,3870.0
2016-06-24,13.0,13.0,13.0,13.0,13.0,10169.0
2016-06-27,12.35,13.65,12.35,13.6,13.6,725612.0
2016-06-28,13.8,14.0,12.95,12.95,12.95,286411.0
2016-06-29,12.35,12.9,12.35,12.4,12.4,392982.0
2016-06-30,12.1,13.0,12.1,13.0,13.0,714581.0
2016-07-01,12.95,13.65,12.5,13.65,13.65,303544.0
2016-07-04,13.95,14.3,13.7,14.3,14.3,277959.0
2016-07-05,14.9,14.95,13.7,14.0,14.0,461449.0
2016-07-07,14.0,14.4,13.7,13.75,13.75,204744.0
2016-07-08,13.7,13.9,13.2,13.35,13.35,236672.0
2016-07-11,13.35,13.5,13.15,13.25,13.25,142503.0
2016-07-12,13.1,13.5,12.85,12.9,12.9,142791.0
2016-07-13,12.65,13.0,12.4,12.6,12.6,114924.0
2016-07-14,12.45,13.0,12.25,12.4,12.4,160327.0
2016-07-15,12.25,12.8,12.15,12.2,12.2,87171.0
2016-07-18,12.5,12.75,12.0,12.05,12.05,109692.0
2016-07-19,12.2,12.45,11.65,11.75,11.75,93229.0
2016-07-20,11.65,12.0,11.6,11.8,11.8,86005.0
2016-07-21,11.45,11.85,11.45,11.6,11.6,147359.0
2016-07-22,11.55,11.95,11.5,11.65,11.65,98294.0
2016-07-25,11.6,12.1,11.5,11.6,11.6,87372.0
2016-07-26,11.6,12.0,11.4,11.5,11.5,91566.0
2016-07-27,11.85,11.85,11.3,11.35,11.35,147352.0
2016-07-28,11.3,11.6,11.25,11.4,11.4,105050.0
2016-07-29,11.35,11.9,11.15,11.45,11.45,116330.0
2016-08-01,11.3,11.55,11.05,11.1,11.1,76586.0
2016-08-02,11.0,11.2,10.55,10.55,10.55,182776.0
2016-08-03,10.5,10.5,10.05,10.2,10.2,101202.0
2016-08-04,10.3,10.7,10.0,10.05,10.05,111775.0
2016-08-05,10.15,10.55,9.9,10.55,10.55,235220.0
2016-08-08,10.75,10.85,10.05,10.75,10.75,157249.0
2016-08-09,10.85,10.85,10.25,10.55,10.55,99889.0
2016-08-10,10.3,10.6,10.2,10.2,10.2,43922.0
2016-08-11,10.1,10.5,10.1,10.15,10.15,98627.0
2016-08-12,9.7,10.25,9.7,9.8,9.8,269233.0
2016-08-16,9.8,10.0,9.35,9.45,9.45,131025.0
2016-08-17,9.1,9.55,9.0,9.1,9.1,164909.0
2016-08-18,9.0,9.55,8.65,9.45,9.45,153771.0
2016-08-19,9.4,9.9,9.3,9.75,9.75,85493.0
2016-08-22,10.0,10.0,9.5,9.85,9.85,64814.0
2016-08-23,10.15,10.3,9.8,10.3,10.3,113867.0
2016-08-24,10.6,10.8,10.6,10.8,10.8,127460.0
2016-08-25,11.0,11.3,10.6,11.3,11.3,200318.0
2016-08-26,11.6,11.6,10.75,10.9,10.9,127045.0
2016-08-29,10.9,11.2,10.7,11.0,11.0,121952.0
2016-08-30,11.0,11.15,10.8,10.9,10.9,107008.0
2016-08-31,10.8,11.0,10.5,10.6,10.6,141966.0
2016-09-01,10.5,10.75,10.1,10.55,10.55,64156.0
2016-09-02,10.45,10.95,10.45,10.7,10.7,157587.0
2016-09-06,10.7,11.2,10.55,10.85,10.85,160929.0
2016-09-07,10.65,11.05,10.5,10.65,10.65,159961.0
2016-09-08,10.55,11.05,10.55,10.75,10.75,154852.0
2016-09-09,10.6,10.7,10.4,10.5,10.5,221311.0
2016-09-12,10.4,10.6,10.2,10.25,10.25,106051.0
2016-09-14,10.25,10.45,9.9,10.1,10.1,119720.0
2016-09-15,10.0,10.4,9.95,10.15,10.15,165321.0
2016-09-16,10.05,10.25,9.9,10.05,10.05,161905.0
2016-09-19,9.85,10.25,9.8,9.9,9.9,248753.0
2016-09-20,9.9,10.0,9.5,9.6,9.6,138385.0
2016-09-21,9.5,9.9,9.5,9.6,9.6,213873.0
2016-09-22,9.5,9.7,9.4,9.45,9.45,100654.0
2016-09-23,9.4,9.7,9.35,9.4,9.4,107870.0
2016-09-26,9.3,9.85,9.3,9.8,9.8,445580.0
2016-09-27,9.95,10.25,9.9,10.25,10.25,450532.0
2016-09-28,10.65,10.75,10.55,10.75,10.75,132934.0
2016-09-29,11.25,11.25,10.3,10.5,10.5,545936.0
2016-09-30,10.5,11.0,10.3,11.0,11.0,571075.0
2016-10-03,11.0,11.55,10.8,11.55,11.55,160687.0
2016-10-04,11.8,12.1,11.75,12.1,12.1,234056.0
2016-10-05,12.0,12.65,11.65,11.95,11.95,170315.0
2016-10-06,11.8,12.25,11.7,11.8,11.8,149626.0
2016-10-07,11.7,12.35,11.65,12.35,12.35,343261.0
2016-10-10,12.95,12.95,12.4,12.7,12.7,210111.0
2016-10-13,12.7,13.1,12.7,12.9,12.9,211102.0
2016-10-14,12.6,13.0,12.4,12.5,12.5,117901.0
2016-10-17,12.4,12.4,11.9,11.9,11.9,146091.0
2016-10-18,11.9,12.45,11.55,12.45,12.45,165829.0
2016-10-19,12.2,13.05,12.1,13.0,13.0,239513.0
2016-10-20,13.15,13.15,12.45,12.5,12.5,109388.0
2016-10-21,12.45,12.75,12.0,12.7,12.7,85907.0
2016-10-24,12.5,13.05,12.5,12.95,12.95,145787.0
2016-10-25,12.85,12.95,12.45,12.5,12.5,97136.0
2016-10-26,12.4,12.65,12.3,12.35,12.35,77985.0
2016-10-27,12.2,12.35,12.0,12.1,12.1,161740.0
2016-10-28,12.0,12.45,11.8,12.1,12.1,88426.0
2016-11-01,12.1,12.4,11.8,12.05,12.05,107837.0
2016-11-02,11.6,12.4,11.6,11.9,11.9,70437.0
2016-11-03,11.8,12.2,11.45,11.55,11.55,151480.0
2016-11-04,11.4,11.7,11.05,11.1,11.1,88706.0
2016-11-07,10.8,11.25,10.8,11.0,11.0,100373.0
2016-11-08,11.0,11.05,10.6,10.95,10.95,78097.0
2016-11-09,10.75,11.35,10.45,10.6,10.6,133818.0
2016-11-10,10.4,11.1,10.4,10.8,10.8,107261.0
2016-11-11,11.25,11.25,10.4,10.45,10.45,59263.0
2016-11-15,10.45,10.45,9.95,9.95,9.95,99846.0
