Date,Open,High,Low,Close,Adj Close,Volume
2015-01-08,24.75,24.75,24.75,24.75,24.75,0.0
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,26.5,27.450001,25.700001,26.0,26.0,236.0
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,25.75,25.950001,25.75,25.950001,25.950001,120.0
2015-01-28,25.5,28.5,25.200001,27.0,27.0,5201.0
2015-01-29,26.5,27.0,24.65,25.0,25.0,1101.0
2015-01-30,24.5,26.700001,24.1,24.299999,24.299999,2903.0
2015-02-02,24.0,24.65,23.5,23.700001,23.700001,1372.0
2015-02-03,23.0,24.0,22.6,24.0,24.0,143.0
2015-02-04,24.0,24.950001,23.5,24.1,24.1,3832.0
2015-02-05,24.0,25.700001,23.25,23.549999,23.549999,12223.0
2015-02-06,,,,,,
2015-02-09,23.0,23.950001,21.65,23.950001,23.950001,411.0
2015-02-10,23.0,24.799999,23.0,24.799999,24.799999,235.0
2015-02-11,,,,,,
2015-02-12,24.0,24.0,24.0,24.0,24.0,0.0
2015-02-13,23.700001,24.700001,22.450001,23.200001,23.200001,477.0
2015-02-16,24.5,24.5,23.049999,23.9,23.9,238.0
2015-02-18,23.9,25.950001,22.1,23.549999,23.549999,513.0
2015-02-19,,,,,,
2015-02-20,24.0,24.0,23.0,23.0,23.0,1183.0
2015-02-23,23.5,24.700001,23.35,24.700001,24.700001,2058.0
2015-02-24,,,,,,
2015-02-25,24.0,24.0,22.85,23.1,23.1,907.0
2015-02-26,24.299999,24.299999,23.9,23.9,23.9,2.0
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,22.65,24.0,22.65,23.25,23.25,790.0
2015-03-04,23.049999,23.9,22.15,23.549999,23.549999,1614.0
2015-03-05,23.0,23.799999,21.799999,22.450001,22.450001,1468.0
2015-03-09,22.450001,22.450001,22.450001,22.450001,22.450001,0.0
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,22.4,23.549999,22.4,23.15,23.15,1515.0
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,21.700001,22.0,20.4,21.15,21.15,529.0
2015-03-18,22.0,22.0,20.549999,21.15,21.15,315.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,21.0,21.0,18.6,20.299999,20.299999,254.0
2015-03-27,20.0,20.0,19.0,20.0,20.0,15.0
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-06,22.0,22.0,22.0,22.0,22.0,0.0
2015-04-07,26.65,26.65,23.85,23.85,23.85,35.0
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,23.0,24.6,21.5,23.5,23.5,6121.0
2015-04-13,23.5,23.5,22.1,22.1,22.1,2774.0
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,21.75,21.75,21.75,21.75,21.75,30.0
2015-04-21,23.0,23.5,22.0,22.0,22.0,655.0
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,23.1,23.1,20.85,21.75,21.75,658.0
2015-05-15,21.75,21.75,21.75,21.75,21.75,0.0
2015-05-18,23.200001,23.200001,23.200001,23.200001,23.200001,1.0
2015-05-19,22.700001,22.75,21.0,22.75,22.75,532.0
2015-05-20,22.5,23.200001,21.1,22.85,22.85,1596.0
2015-05-21,23.6,23.6,21.700001,22.4,22.4,1161.0
2015-05-22,22.200001,22.5,21.700001,22.0,22.0,5364.0
2015-05-25,21.700001,23.0,21.6,22.75,22.75,1411.0
2015-05-26,23.0,23.0,23.0,23.0,23.0,200.0
2015-05-27,22.700001,22.700001,21.700001,21.799999,21.799999,2111.0
2015-05-28,22.0,22.950001,21.6,22.85,22.85,744.0
2015-05-29,22.049999,22.049999,21.0,21.5,21.5,1728.0
2015-06-01,22.450001,22.450001,22.450001,22.450001,22.450001,300.0
2015-06-02,22.0,22.0,20.700001,21.0,21.0,3389.0
2015-06-03,20.5,20.9,16.799999,17.4,17.4,17160.0
2015-06-04,17.0,19.0,14.7,17.6,17.6,1455.0
