Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,29.0,29.799999,28.1,28.65,28.087246,4706.0
2015-01-02,28.6,30.700001,28.6,30.1,29.508764000000003,4321.0
2015-01-05,31.0,31.700001,29.5,29.950001,29.361712,3729.0
2015-01-06,28.549999,30.0,28.5,28.549999,27.989208,1687.0
2015-01-07,27.200001,30.85,27.0,28.75,28.185282,871.0
2015-01-08,34.299999,34.299999,26.85,27.5,26.959834999999998,36326.0
2015-01-09,27.200001,29.1,27.0,28.0,27.450012,1629.0
2015-01-12,27.200001,28.0,26.9,27.200001,26.665728,4056.0
2015-01-13,26.5,27.950001,26.1,27.700001,27.155904999999997,3091.0
2015-01-14,26.65,26.65,26.65,26.65,26.12653,240.0
2015-01-15,26.65,27.9,26.65,27.049999,26.518673,1774.0
2015-01-16,26.5,27.950001,25.1,27.9,27.351976,887.0
2015-01-19,28.5,28.5,26.15,26.700001,26.175549,1138.0
2015-01-20,26.5,27.0,26.1,27.0,26.469656,2830.0
2015-01-21,26.75,27.25,26.15,26.65,26.12653,1571.0
2015-01-22,26.5,26.5,26.200001,26.200001,25.685369,213.0
2015-01-23,26.1,28.450001,26.1,26.299999,25.783405,1431.0
2015-01-27,26.299999,26.5,25.0,25.9,25.391262,3867.0
2015-01-28,25.5,25.799999,24.65,25.75,25.244207,1101.0
2015-01-29,25.5,26.0,24.299999,25.35,24.852064000000002,2767.0
2015-01-30,24.950001,29.9,24.950001,25.85,25.342245000000002,4964.0
2015-02-02,25.0,25.75,25.0,25.700001,25.19519,658.0
2015-02-03,25.299999,26.0,23.75,25.5,24.999119,12640.0
2015-02-04,25.0,25.0,22.950001,23.299999,22.842331,27703.0
2015-02-05,22.5,23.799999,21.0,22.299999,21.861975,3391.0
2015-02-06,21.5,22.25,21.0,21.5,21.07769,1990.0
2015-02-09,21.0,21.0,20.0,20.0,19.607153,2846.0
2015-02-10,20.0,22.0,18.299999,19.200001,18.822866,11191.0
2015-02-11,20.0,20.0,18.6,19.5,19.116972,4181.0
2015-02-12,19.049999,19.5,19.0,19.200001,18.822866,5504.0
2015-02-13,20.0,20.6,18.6,20.6,20.195366,2112.0
2015-02-16,20.0,20.299999,18.5,19.9,19.509117,3162.0
2015-02-18,19.9,20.4,18.25,19.75,19.362061999999998,6492.0
2015-02-19,19.75,20.9,19.75,20.549999,20.146347,4253.0
2015-02-20,20.049999,21.950001,20.049999,21.25,20.8326,2375.0
2015-02-23,20.85,22.5,20.85,21.450001,21.028671,1447.0
2015-02-24,20.6,22.299999,20.549999,21.049999,20.636526,2127.0
2015-02-25,21.5,21.5,21.0,21.0,20.587509,1830.0
2015-02-26,20.799999,20.799999,20.5,20.5,20.09733,1201.0
2015-02-27,21.25,21.25,20.1,20.15,19.754206,728.0
2015-02-28,,,,,,
2015-03-02,24.25,24.25,19.65,21.4,20.979651999999998,5375.0
2015-03-03,20.0,21.700001,20.0,21.5,21.07769,1369.0
2015-03-04,20.0,21.950001,19.0,21.5,21.07769,11089.0
2015-03-05,20.700001,22.0,20.700001,21.0,20.587509,1578.0
2015-03-09,21.0,21.0,19.450001,19.85,19.460098000000002,542.0
2015-03-10,20.9,20.9,19.65,20.1,19.705189,1960.0
2015-03-11,20.299999,20.299999,19.65,19.65,19.264027,3406.0
2015-03-12,19.5,20.299999,18.4,20.049999,19.65617,2780.0
2015-03-13,20.200001,20.200001,19.5,19.5,19.116972,40.0
2015-03-16,18.200001,23.299999,18.200001,19.299999,18.9209,6508.0
2015-03-17,20.4,20.4,19.75,20.0,19.607153,788.0
2015-03-18,19.950001,20.950001,19.950001,20.950001,20.538492,2238.0
2015-03-19,22.299999,23.950001,20.950001,23.0,22.548223,12237.0
2015-03-20,24.9,24.9,21.75,22.0,21.567867,12976.0
2015-03-23,21.5,21.5,20.549999,21.0,20.587509,4731.0
2015-03-24,20.5,21.1,19.5,20.549999,20.146347,8578.0
2015-03-25,20.5,21.4,19.1,21.049999,20.636526,3285.0
2015-03-26,21.4,21.4,20.9,20.9,20.489473,1100.0
2015-03-27,20.5,20.5,18.9,20.200001,19.803225,2030.0
2015-03-30,20.6,20.6,20.6,20.6,20.195366,329.0
2015-03-31,20.049999,20.549999,20.049999,20.5,20.09733,1447.0
2015-04-01,20.65,22.700001,20.65,22.25,21.812956,1664.0
2015-04-06,22.25,22.299999,21.549999,22.299999,21.861975,620.0
2015-04-07,22.0,22.0,21.65,21.65,21.224741,300.0
2015-04-08,21.799999,22.5,21.799999,21.799999,21.371794,6672.0
