Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,53.900002,56.0,53.299999,55.700001,49.020851,667153.0
2015-01-02,55.900002,56.450001,54.900002,55.099998,48.492802000000005,814013.0
2015-01-05,55.099998,55.25,53.25,53.450001,47.040657,565631.0
2015-01-06,52.75,53.25,51.349998,51.5,45.324490000000004,1689789.0
2015-01-07,52.0,52.099998,50.75,50.950001,44.840443,563245.0
2015-01-08,51.599998,52.400002,50.75,51.150002,45.016459999999995,826421.0
2015-01-09,51.599998,51.900002,50.400002,50.549999,44.488403000000005,782500.0
2015-01-12,50.950001,50.950001,49.5,49.650002,43.696331,748346.0
2015-01-13,50.099998,50.099998,48.599998,48.799999,42.948254,1196894.0
2015-01-14,48.950001,49.0,47.299999,47.599998,41.892146999999994,1807857.0
2015-01-15,48.099998,48.299999,47.0,47.25,41.584122,2006326.0
2015-01-16,47.049999,47.950001,46.75,46.900002,41.276089,1345862.0
2015-01-19,46.700001,47.650002,46.700001,47.099998,41.452103,830972.0
2015-01-20,47.200001,47.950001,47.150002,47.549999,41.848141,1578800.0
2015-01-21,47.75,48.950001,47.700001,47.900002,42.156178000000004,2399043.0
2015-01-22,47.700001,48.5,47.599998,47.75,42.024162,436667.0
2015-01-23,48.25,49.200001,47.900002,48.599998,42.772236,1487221.0
2015-01-27,48.599998,48.900002,47.5,47.700001,41.980156,440557.0
2015-01-28,47.650002,47.650002,46.0,46.200001,40.66003,592282.0
2015-01-29,46.0,46.849998,44.549999,44.799999,39.427906,1399919.0
2015-01-30,45.0,45.799999,44.950001,45.299999,39.86795,1403420.0
2015-02-02,45.299999,46.299999,45.25,45.900002,40.396004,2017781.0
2015-02-03,46.400002,47.450001,46.200001,46.75,41.144077,1222067.0
2015-02-04,46.849998,49.299999,46.650002,48.400002,42.596222,3328585.0
2015-02-05,48.900002,49.799999,48.200001,48.549999,42.728229999999996,1211113.0
2015-02-06,49.900002,49.900002,49.0,49.25,43.344291999999996,1336890.0
2015-02-09,49.099998,49.349998,48.400002,48.599998,42.772236,557546.0
2015-02-10,48.700001,50.299999,48.700001,49.549999,43.608315000000005,1472798.0
2015-02-11,51.799999,52.900002,49.299999,49.5,43.564312,3440830.0
2015-02-12,49.900002,50.400002,49.5,49.799999,43.828339,836621.0
2015-02-13,49.849998,50.099998,48.099998,48.650002,42.816241999999995,1917221.0
2015-02-16,49.0,49.049999,47.599998,47.75,42.024162,811790.0
2015-02-18,47.75,48.849998,47.700001,48.25,42.464207,592274.0
2015-02-19,48.799999,48.799999,47.700001,47.950001,42.200179999999996,1046697.0
2015-02-20,48.200001,48.400002,47.650002,47.849998,42.112171000000004,593278.0
2015-02-23,48.599998,48.599998,47.5,47.700001,41.980156,793294.0
2015-02-24,48.0,48.099998,47.25,47.900002,42.156178000000004,592008.0
2015-02-25,47.900002,48.0,47.700001,47.900002,42.156178000000004,860734.0
2015-02-26,48.049999,48.049999,47.900002,47.950001,42.200179999999996,994357.0
2015-02-27,48.150002,48.400002,47.299999,47.950001,42.200179999999996,716037.0
2015-02-28,,,,,,
2015-03-02,47.599998,47.650002,46.700001,46.75,41.144077,544527.0
2015-03-03,46.900002,48.5,46.700001,48.349998,42.552212,915901.0
2015-03-04,49.0,49.849998,48.599998,49.5,43.564312,1389998.0
2015-03-05,49.150002,50.900002,49.150002,49.950001,43.960353999999995,1160620.0
2015-03-09,49.950001,49.950001,48.349998,48.650002,42.816241999999995,630788.0
2015-03-10,48.950001,49.5,48.400002,48.950001,43.080269,421570.0
2015-03-11,49.0,49.5,47.549999,47.75,42.024162,399505.0
2015-03-12,48.299999,48.400002,47.400002,47.5,41.804142,1262059.0
2015-03-13,48.0,48.349998,47.0,47.150002,41.496109000000004,469593.0
2015-03-16,47.450001,47.799999,46.349998,46.5,40.924053,522339.0
2015-03-17,46.900002,47.75,46.599998,47.549999,41.848141,548298.0
2015-03-18,46.200001,46.900002,46.049999,46.150002,41.71257,659605.0
2015-03-19,46.299999,46.599998,44.849998,45.150002,40.808723,518833.0
2015-03-20,45.0,45.099998,44.25,44.450001,40.176025,472367.0
2015-03-23,44.549999,45.099998,44.5,44.599998,40.3116,399811.0
2015-03-24,44.849998,45.0,44.549999,44.700001,40.401989,435996.0
2015-03-25,44.5,44.75,43.25,43.400002,39.226986,344397.0
2015-03-26,43.0,43.5,42.599998,42.799999,38.684677,353794.0
2015-03-27,42.75,43.0,42.099998,42.450001,38.368332,611021.0
