Date,Open,High,Low,Close,Adj Close,Volume
2015-09-09,152.0,169.449997,152.0,167.949997,167.949997,26761101.0
2015-09-10,162.800003,165.399994,158.350006,163.399994,163.399994,2071594.0
2015-09-11,165.5,167.899994,161.5,162.899994,162.899994,1162912.0
2015-09-14,163.449997,171.800003,160.550003,164.899994,164.899994,1628219.0
2015-09-15,165.0,167.850006,162.300003,163.25,163.25,356928.0
2015-09-16,164.699997,166.949997,161.800003,162.5,162.5,332212.0
2015-09-18,162.5,162.5,162.5,162.5,162.5,0.0
2015-09-21,162.699997,165.649994,161.699997,162.350006,162.350006,223947.0
2015-09-22,162.0,164.350006,155.649994,158.199997,158.199997,233226.0
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-28,155.449997,155.449997,155.449997,155.449997,155.449997,0.0
2015-09-29,,,,,,
2015-09-30,159.850006,161.699997,156.600006,158.550003,158.550003,180456.0
2015-10-01,158.600006,158.600006,155.100006,156.0,156.0,64867.0
2015-10-05,156.0,158.399994,155.199997,156.899994,156.899994,217071.0
2015-10-06,157.449997,157.949997,155.699997,157.050003,157.050003,130474.0
2015-10-07,,,,,,
2015-10-08,157.850006,157.850006,154.25,156.5,156.5,72563.0
2015-10-09,,,,,,
2015-10-12,157.649994,157.899994,152.149994,154.149994,154.149994,110706.0
2015-10-13,155.5,155.5,151.050003,153.149994,153.149994,59718.0
2015-10-14,154.550003,155.800003,151.399994,155.100006,155.100006,238508.0
2015-10-15,155.800003,157.0,153.399994,156.0,156.0,159379.0
2015-10-16,,,,,,
2015-10-19,159.899994,164.0,155.600006,160.350006,160.350006,315763.0
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-23,,,,,,
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,162.899994,162.899994,157.600006,159.649994,159.649994,57341.0
2015-10-30,,,,,,
2015-11-02,161.5,165.0,159.550003,163.75,163.75,171615.0
2015-11-03,163.600006,166.199997,162.100006,165.25,165.25,184753.0
2015-11-04,,,,,,
2015-11-05,175.149994,177.0,170.0,173.100006,173.100006,624581.0
2015-11-06,172.300003,179.899994,172.300003,178.0,178.0,409753.0
2015-11-09,169.899994,184.350006,169.899994,181.149994,181.149994,336409.0
2015-11-10,,,,,,
2015-11-13,,,,,,
2015-11-16,,,,,,
2015-11-17,190.399994,193.100006,186.5,188.550003,188.550003,306761.0
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-26,189.449997,189.449997,189.449997,189.449997,189.449997,0.0
2015-11-27,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-07,,,,,,
2015-12-08,196.0,198.100006,195.0,195.5,195.5,107413.0
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,198.350006,200.300003,194.300003,197.800003,197.800003,80171.0
2015-12-28,197.800003,206.949997,197.0,205.600006,205.600006,225667.0
2015-12-29,206.0,208.5,201.25,202.850006,202.850006,160463.0
2015-12-30,204.0,206.800003,201.899994,206.0,206.0,49353.0
2015-12-31,206.25,206.449997,202.550003,205.5,205.5,79207.0
2016-01-01,206.0,215.0,205.0,211.44999700000002,211.44999700000002,99329.0
2016-01-04,210.75,214.94999700000002,206.0,207.949997,207.949997,77340.0
2016-01-05,207.300003,211.80000299999998,205.5,209.699997,209.699997,50038.0
2016-01-06,211.19999700000002,214.69999700000002,206.25,206.949997,206.949997,107682.0
2016-01-07,206.899994,206.899994,188.300003,201.149994,201.149994,114134.0
2016-01-08,202.0,207.850006,200.0,204.25,204.25,28063.0
2016-01-11,203.399994,207.0,200.949997,202.399994,202.399994,60171.0
2016-01-12,203.0,206.899994,199.100006,199.949997,199.949997,51767.0
2016-01-13,202.0,204.0,186.100006,201.399994,201.399994,126914.0
2016-01-14,196.0,204.699997,191.100006,200.600006,200.600006,67077.0
2016-01-15,202.600006,205.0,199.5,200.449997,200.449997,87346.0
