Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,40.0,43.25,39.450001,42.5,41.224194,12780.0
2015-01-02,42.099998,43.400002,42.099998,42.799999,41.515186,4236.0
2015-01-05,42.5,42.950001,42.0,42.700001,41.41819,2310.0
2015-01-06,43.049999,43.049999,40.549999,41.400002,40.157215,5214.0
2015-01-07,41.0,42.5,39.700001,41.5,40.254211,10005.0
2015-01-08,42.0,43.799999,42.0,42.650002,41.369690000000006,17084.0
2015-01-09,42.650002,45.599998,42.650002,43.0,41.709179,22809.0
2015-01-12,42.700001,43.0,40.799999,42.299999,41.030196999999994,5472.0
2015-01-13,44.0,44.0,40.700001,41.650002,40.399712,17135.0
2015-01-14,42.5,43.700001,42.0,42.299999,41.030196999999994,11118.0
2015-01-15,44.0,44.950001,41.450001,43.25,41.951679,21219.0
2015-01-16,43.049999,43.549999,42.049999,42.75,41.466685999999996,6722.0
2015-01-19,42.049999,44.950001,41.549999,42.200001,40.933201000000004,8614.0
2015-01-20,45.849998,45.849998,43.099998,43.349998,42.048676,19112.0
2015-01-21,43.0,43.650002,41.849998,42.099998,40.836197,4889.0
2015-01-22,41.799999,43.0,41.25,42.349998,41.078697,36753.0
2015-01-23,43.400002,43.450001,42.0,42.099998,40.836197,7663.0
2015-01-27,42.099998,42.450001,41.099998,42.0,40.739201,11623.0
2015-01-28,42.0,44.950001,40.650002,40.950001,39.720721999999995,21652.0
2015-01-29,40.700001,41.049999,39.650002,39.950001,38.750744,21151.0
2015-01-30,40.0,41.25,39.0,39.150002,37.974758,8400.0
2015-02-02,39.099998,46.950001,39.099998,46.950001,45.540607,95918.0
2015-02-03,51.0,53.400002,45.150002,48.099998,46.656082,282489.0
2015-02-04,48.0,48.0,46.299999,46.599998,45.201115,25809.0
2015-02-05,46.299999,47.849998,45.599998,47.0,45.589108,32536.0
2015-02-06,46.400002,47.0,43.599998,43.75,42.436671999999994,17982.0
2015-02-09,44.5,44.5,42.299999,42.700001,41.41819,5976.0
2015-02-10,42.5,44.950001,42.299999,42.5,41.224194,8364.0
2015-02-11,43.75,43.75,42.650002,43.25,41.951679,3786.0
2015-02-12,43.0,44.5,42.5,44.0,42.679165000000005,7360.0
2015-02-13,43.599998,45.849998,43.25,44.5,43.164158,11761.0
2015-02-16,49.400002,49.400002,44.0,44.349998,43.018654,20791.0
2015-02-18,44.349998,45.849998,44.099998,45.0,43.649147,10333.0
2015-02-19,47.0,48.900002,43.5,45.799999,44.425129,11184.0
2015-02-20,46.0,46.900002,44.200001,45.75,44.376633,13890.0
2015-02-23,45.099998,45.5,43.400002,44.25,42.921661,17406.0
2015-02-24,44.049999,44.5,44.049999,44.450001,43.115658,18850.0
2015-02-25,43.0,44.75,42.849998,43.150002,41.854679,12783.0
2015-02-26,44.25,44.25,41.25,42.400002,41.127193,13144.0
2015-02-27,42.25,44.75,41.75,44.150002,42.824661,11496.0
2015-02-28,,,,,,
2015-03-02,45.099998,53.200001,43.5,53.200001,51.602993,289572.0
2015-03-03,54.900002,56.400002,51.5,53.650002,52.039486,192776.0
2015-03-04,55.400002,55.400002,49.0,49.400002,47.917065,53005.0
2015-03-05,49.5,54.849998,49.200001,50.700001,49.17804,200912.0
2015-03-09,50.700001,50.799999,48.5,49.150002,47.674572,69177.0
2015-03-10,52.400002,52.400002,47.700001,48.150002,46.704586,151340.0
2015-03-11,48.900002,50.25,46.5,47.5,46.074093,101566.0
2015-03-12,47.5,48.599998,46.5,47.700001,46.268097,50059.0
2015-03-13,47.5,48.450001,46.549999,47.099998,45.686104,23893.0
2015-03-16,46.900002,48.0,45.900002,46.25,44.861622,49957.0
2015-03-17,46.25,47.5,46.25,47.299999,45.8801,12444.0
2015-03-18,47.0,47.5,46.5,47.25,45.831596000000005,14177.0
2015-03-19,47.0,49.5,46.599998,47.950001,46.51059,65620.0
2015-03-20,47.700001,47.900002,46.200001,46.5,45.104115,16849.0
2015-03-23,47.5,47.5,45.099998,46.299999,44.910121999999994,6230.0
2015-03-24,46.0,47.5,45.700001,46.400002,45.007118,11890.0
2015-03-25,46.150002,46.799999,46.099998,46.700001,45.298115,7434.0
2015-03-26,46.700001,47.25,46.25,46.599998,45.201115,5437.0
2015-03-27,46.599998,46.849998,45.549999,46.0,44.619129,20567.0
2015-03-30,45.950001,47.349998,45.950001,47.0,45.589108,7529.0
2015-03-31,47.0,49.400002,44.349998,45.150002,43.794647,24139.0
2015-04-01,45.5,47.0,45.5,46.299999,44.910121999999994,22611.0
2015-04-06,46.299999,49.799999,46.25,49.25,47.771564,18722.0
2015-04-07,50.0,50.0,47.150002,48.25,46.801586,5646.0
2015-04-08,49.0,54.0,49.0,51.950001,50.390514,66658.0
2015-04-09,52.0,53.75,52.0,53.25,51.651489,29433.0
2015-04-10,53.0,54.0,51.0,51.400002,49.857025,17212.0
2015-04-13,51.599998,54.299999,51.599998,53.650002,52.039486,24995.0
2015-04-15,53.650002,56.200001,52.799999,53.650002,52.039486,74390.0
2015-04-16,53.0,54.5,51.5,52.400002,50.827003000000005,28221.0
2015-04-17,52.5,52.950001,51.0,52.650002,51.069503999999995,7333.0
2015-04-20,52.5,52.5,50.400002,50.549999,49.032543,13775.0
2015-04-21,50.0,53.799999,50.0,52.200001,50.633007,16824.0
2015-04-22,53.0,53.0,49.599998,50.75,49.226535999999996,20037.0
2015-04-23,51.0,52.950001,51.0,51.400002,49.857025,1763.0
2015-04-24,51.0,51.700001,49.099998,49.849998,48.35355,24030.0
2015-04-27,49.0,50.0,48.0,48.5,47.044078999999996,10197.0
2015-04-28,48.5,48.5,47.5,47.75,46.316596999999994,18977.0
2015-04-29,48.5,54.0,48.0,49.049999,47.577564,1710.0
2015-04-30,48.799999,50.0,48.0,48.900002,47.432076,4639.0
2015-05-04,48.900002,50.5,48.0,48.349998,46.898579,4694.0
2015-05-05,48.400002,50.049999,48.150002,49.700001,48.208057000000004,13841.0
2015-05-06,49.0,49.200001,48.25,48.950001,47.480568,11469.0
2015-05-07,48.549999,49.0,47.450001,48.049999,46.607586,12439.0
2015-05-08,48.400002,51.950001,48.400002,49.400002,47.917065,8101.0
2015-05-11,50.0,51.200001,49.549999,50.700001,49.17804,8710.0
2015-05-12,50.0,52.0,49.25,49.599998,48.111053000000005,4136.0
2015-05-13,50.0,51.799999,48.25,50.0,48.49905,3308.0
2015-05-14,49.5,49.950001,48.650002,49.150002,47.674572,10922.0
2015-05-15,49.049999,50.0,48.650002,49.400002,47.917065,3467.0
2015-05-18,50.799999,50.799999,47.5,48.150002,46.704586,4862.0
2015-05-19,48.5,49.650002,47.549999,49.049999,47.577564,6458.0
2015-05-20,49.200001,50.450001,48.599998,49.349998,47.868561,6446.0
2015-05-21,48.599998,49.5,48.200001,49.0,47.529072,3536.0
2015-05-22,50.0,53.900002,47.849998,51.75,50.196514,33489.0
2015-05-25,51.0,62.099998,50.5,61.25,59.411339,428721.0
2015-05-26,60.950001,63.0,57.400002,62.049999,60.187321,171913.0
2015-05-27,62.0,62.25,58.099998,61.450001,59.605335,126878.0
2015-05-28,62.450001,62.450001,58.5,59.299999,57.519875,33555.0
2015-05-29,59.950001,60.0,58.25,59.049999,57.277378000000006,29466.0
2015-06-01,62.900002,65.800003,61.549999,63.0,61.108803,317414.0
2015-06-02,65.650002,65.650002,54.200001,59.400002,57.616870999999996,89818.0
2015-06-03,61.5,61.5,56.200001,58.950001,57.180381999999994,41659.0
2015-06-04,60.0,62.5,58.0,61.450001,59.605335,32570.0
2015-06-05,61.75,63.400002,59.0,61.549999,59.702328,49768.0
2015-06-08,63.349998,63.349998,58.0,58.25,56.501392,11616.0
2015-06-09,58.450001,60.200001,57.0,57.75,56.016406999999994,22122.0
2015-06-10,58.650002,60.299999,58.049999,59.75,57.95636700000001,29588.0
2015-06-11,60.349998,61.25,56.0,57.200001,55.482918000000005,28752.0
2015-06-12,57.200001,57.950001,56.049999,56.400002,54.706928000000005,10238.0
2015-06-15,57.900002,59.150002,56.349998,58.150002,56.4044,8403.0
2015-06-16,58.0,58.0,57.049999,57.299999,55.57991,14180.0
2015-06-17,59.450001,60.299999,56.549999,59.799999,58.004864000000005,13154.0
2015-06-18,60.549999,69.75,60.549999,66.949997,64.940224,208274.0
2015-06-19,67.849998,71.300003,65.599998,66.25,64.261238,115787.0
2015-06-22,67.050003,67.900002,65.099998,65.699997,63.727753,22291.0
2015-06-23,67.699997,67.699997,65.099998,65.25,63.291256000000004,14294.0
2015-06-24,65.050003,72.650002,63.0,70.199997,68.092667,231192.0
2015-06-25,71.349998,81.400002,71.050003,80.150002,77.74398000000001,1054237.0
2015-06-26,79.900002,83.449997,76.5,78.099998,75.75550799999999,288242.0
2015-06-29,77.0,77.900002,70.800003,75.349998,73.088074,122472.0
2015-06-30,75.0,82.5,74.650002,79.900002,77.501488,254001.0
2015-07-01,80.0,82.449997,76.349998,78.25,75.90102399999999,132430.0
2015-07-02,79.0,81.0,77.099998,77.75,75.416031,124923.0
2015-07-03,78.800003,81.25,77.25,78.650002,76.289001,90411.0
2015-07-06,78.0,79.900002,73.650002,79.5,77.113487,66099.0
2015-07-07,79.5,81.300003,77.050003,77.400002,75.07653,47762.0
2015-07-08,77.0,78.5,73.699997,74.300003,72.06959499999999,59891.0
2015-07-09,75.0,76.949997,72.5,73.550003,71.34210999999999,53322.0
2015-07-10,74.0,74.5,69.800003,72.349998,70.17813100000001,93788.0
2015-07-13,71.800003,73.699997,70.900002,72.949997,70.760109,26997.0
2015-07-14,72.75,76.199997,72.699997,74.25,72.02109499999999,46391.0
2015-07-15,74.099998,77.25,72.5,73.800003,71.584595,75644.0
2015-07-16,73.25,80.900002,73.25,79.699997,77.30748,371569.0
2015-07-17,81.199997,81.300003,76.5,77.5,75.17353100000001,135596.0
2015-07-20,78.699997,80.0,77.199997,78.400002,76.046509,106166.0
2015-07-21,78.050003,79.199997,75.300003,76.400002,74.10655200000001,74602.0
2015-07-22,76.0,78.900002,75.050003,78.349998,75.998001,82530.0
2015-07-23,78.050003,87.25,78.050003,85.150002,82.593887,799030.0
2015-07-24,86.199997,87.699997,83.599998,84.349998,81.817902,341745.0
2015-07-27,84.650002,84.650002,81.199997,83.099998,80.605423,105368.0
2015-07-28,82.199997,84.599998,82.099998,82.949997,80.459923,79589.0
2015-07-29,83.900002,87.349998,83.25,85.199997,82.642387,253042.0
2015-07-30,86.0,88.199997,83.650002,84.849998,82.302887,286806.0
2015-07-31,84.550003,86.599998,81.400002,82.400002,79.92643000000001,151124.0
2015-08-03,82.300003,91.5,82.0,89.150002,86.473816,732459.0
2015-08-04,88.099998,91.449997,85.099998,87.650002,85.018829,271397.0
2015-08-05,88.449997,93.0,86.099998,91.5,88.753265,847515.0
2015-08-06,95.0,99.300003,93.0,94.099998,91.275215,667108.0
2015-08-07,95.5,100.699997,95.25,98.150002,95.203636,495314.0
2015-08-10,99.400002,103.5,96.900002,97.650002,94.718651,451776.0
2015-08-11,98.599998,98.849998,93.0,94.849998,92.002701,332314.0
2015-08-12,104.0,108.800003,97.25,101.349998,98.307571,1467464.0
2015-08-13,102.800003,105.900002,97.300003,99.800003,96.804108,522817.0
2015-08-14,100.900002,102.599998,98.75,100.900002,97.871086,252688.0
2015-08-17,101.900002,110.849998,98.199997,108.5,105.242943,827228.0
