Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,34.849998,36.650002,34.599998,35.700001,35.448853,424304.0
2015-01-02,36.0,36.0,35.0,35.25,35.002014,256454.0
2015-01-05,35.0,36.549999,34.700001,34.950001,34.704128000000004,356165.0
2015-01-06,34.599998,34.599998,33.049999,33.299999,33.065731,208917.0
2015-01-07,33.0,33.75,31.85,32.0,31.774881,332517.0
2015-01-08,32.799999,33.450001,32.5,33.200001,32.966438000000004,200003.0
2015-01-09,33.799999,34.150002,32.799999,33.299999,33.065731,187533.0
2015-01-12,33.799999,34.0,32.849998,33.25,33.016087,131930.0
2015-01-13,33.5,34.400002,32.650002,33.0,32.767845,271797.0
2015-01-14,32.799999,33.450001,32.099998,32.349998,32.122417,160725.0
2015-01-15,32.549999,34.400002,32.5,33.099998,32.867142,317368.0
2015-01-16,33.0,33.799999,32.099998,32.75,32.519604,137694.0
2015-01-19,32.400002,33.700001,32.400002,33.0,32.767845,172883.0
2015-01-20,33.099998,34.0,32.75,33.200001,32.966438000000004,263442.0
2015-01-21,33.200001,33.75,32.599998,32.849998,32.6189,163431.0
2015-01-22,32.849998,36.200001,32.599998,35.549999,35.299904,1323798.0
2015-01-23,37.799999,38.75,36.200001,36.650002,36.392165999999996,1908697.0
2015-01-27,36.650002,39.700001,36.650002,37.900002,37.633373,885322.0
2015-01-28,38.0,38.0,35.700001,36.049999,35.796391,294861.0
2015-01-29,35.950001,36.950001,35.099998,36.0,35.746742,276013.0
2015-01-30,36.299999,36.450001,34.200001,34.650002,34.406239,341515.0
2015-02-02,35.0,36.900002,34.650002,35.900002,35.647446,431317.0
2015-02-03,36.349998,36.349998,35.049999,35.25,35.002014,199473.0
2015-02-04,35.299999,37.599998,35.299999,36.25,35.994984,1072240.0
2015-02-05,36.349998,37.200001,35.099998,35.349998,35.101310999999995,262921.0
2015-02-06,35.099998,35.450001,33.549999,33.950001,33.711163,225932.0
2015-02-09,33.900002,34.25,32.299999,32.75,32.519604,261982.0
2015-02-10,32.400002,34.0,32.099998,32.5,32.271361999999996,315534.0
2015-02-11,32.950001,33.900002,32.5,33.400002,33.165031,207991.0
2015-02-12,33.900002,34.299999,32.950001,33.799999,33.562222,247419.0
2015-02-13,33.75,34.549999,33.5,33.849998,33.611862,253204.0
2015-02-16,33.849998,33.849998,33.049999,33.299999,33.065731,184133.0
2015-02-18,33.299999,33.75,32.549999,32.900002,32.668552000000005,228892.0
2015-02-19,32.849998,33.5,32.5,32.799999,32.569252,159817.0
2015-02-20,32.75,33.200001,31.6,32.150002,31.923824,275115.0
2015-02-23,32.150002,32.349998,31.200001,31.5,31.278399,198592.0
2015-02-24,31.549999,31.549999,28.65,29.65,29.441414,561208.0
2015-02-25,29.950001,30.25,28.75,28.9,28.696688,294562.0
2015-02-26,28.75,28.950001,27.049999,27.299999,27.107943,388308.0
2015-02-27,27.6,28.450001,27.0,28.15,27.951963,387556.0
2015-02-28,,,,,,
2015-03-02,30.0,34.900002,29.4,34.900002,34.654484000000004,1250928.0
