Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,36.799999,37.349998,36.200001,37.150002,35.141209,200703.0
2015-01-02,37.5,38.200001,37.200001,37.650002,35.614174,325408.0
2015-01-05,38.0,38.299999,36.799999,36.900002,34.904732,337901.0
2015-01-06,37.25,37.75,36.299999,36.5,34.52636,400475.0
2015-01-07,36.849998,39.299999,36.599998,37.599998,35.566875,1534299.0
2015-01-08,38.049999,38.450001,36.549999,36.799999,34.810134999999995,483528.0
2015-01-09,37.200001,37.400002,36.650002,36.900002,34.904732,187991.0
2015-01-12,37.25,37.299999,36.75,36.900002,34.904732,92233.0
2015-01-13,37.25,37.75,36.549999,36.799999,34.810134999999995,207096.0
2015-01-14,37.200001,39.150002,37.150002,38.400002,36.32362,1199961.0
2015-01-15,39.900002,40.849998,37.599998,37.799999,35.756062,970750.0
2015-01-16,37.599998,38.650002,37.5,37.650002,35.614174,237252.0
2015-01-19,37.799999,39.75,37.700001,39.25,37.127659,1016717.0
2015-01-20,39.650002,40.299999,38.299999,38.700001,36.607399,627603.0
2015-01-21,38.900002,38.950001,37.799999,37.900002,35.850658,212886.0
2015-01-22,37.700001,39.25,37.700001,38.400002,36.32362,348525.0
2015-01-23,38.700001,39.299999,37.75,37.900002,35.850658,361901.0
2015-01-27,37.900002,38.349998,36.599998,37.400002,35.377693,206429.0
2015-01-28,37.099998,37.75,36.400002,36.700001,34.715546,268534.0
2015-01-29,36.5,37.25,36.099998,36.5,34.52636,224192.0
2015-01-30,36.849998,37.349998,36.049999,36.200001,34.242577000000004,245909.0
2015-02-02,36.400002,39.700001,36.200001,39.0,36.891178000000004,840588.0
2015-02-03,40.25,40.700001,39.049999,39.400002,37.26955,1477815.0
2015-02-04,39.799999,40.0,38.650002,39.099998,36.985766999999996,407109.0
2015-02-05,40.0,40.75,37.849998,38.599998,36.512802,2366475.0
2015-02-06,38.799999,38.950001,37.200001,37.5,35.472286,582633.0
2015-02-09,37.150002,37.400002,35.700001,35.900002,33.958801,349289.0
2015-02-10,35.5,36.799999,35.5,35.799999,33.864208000000005,282862.0
2015-02-11,36.0,36.599998,35.25,35.650002,33.722321,309298.0
2015-02-12,35.900002,36.75,35.700001,36.150002,34.195282,400960.0
2015-02-13,36.400002,36.650002,35.75,35.950001,34.0061,224418.0
2015-02-16,36.299999,36.549999,35.0,35.650002,33.722321,220407.0
2015-02-18,35.650002,40.299999,35.549999,39.799999,37.647919,2141560.0
2015-02-19,41.849998,42.799999,41.049999,41.599998,39.350586,3749041.0
2015-02-20,40.900002,40.900002,39.099998,39.25,37.127659,882893.0
2015-02-23,39.400002,40.0,38.25,38.5,36.418209000000004,507304.0
2015-02-24,38.25,38.599998,37.099998,37.25,35.235802,392750.0
2015-02-25,37.700001,38.700001,37.549999,37.900002,35.850658,674789.0
2015-02-26,38.200001,38.299999,36.950001,37.099998,35.09391,451378.0
2015-02-27,37.450001,38.150002,36.900002,37.75,35.708767,364778.0
2015-02-28,,,,,,
2015-03-02,36.599998,36.650002,35.099998,35.299999,33.391242999999996,438611.0
2015-03-03,35.599998,35.900002,35.0,35.400002,33.48584,299980.0
2015-03-04,35.799999,35.950001,34.5,34.650002,32.77639,383155.0
2015-03-05,34.599998,34.849998,33.400002,33.650002,31.830465000000004,463325.0
2015-03-09,33.650002,33.650002,32.25,32.400002,30.648054,253009.0
2015-03-10,32.799999,33.200001,32.099998,32.25,30.506165000000003,279086.0
2015-03-11,32.549999,32.549999,31.049999,31.200001,29.512940999999998,231947.0
2015-03-12,31.5,31.950001,31.049999,31.4,29.702126,196368.0
2015-03-13,31.75,31.799999,30.799999,30.9,29.229162,278295.0
2015-03-16,30.65,30.9,29.6,29.9,28.283236,248376.0
2015-03-17,30.049999,31.9,29.9,30.549999,28.898088,541941.0
2015-03-18,30.700001,30.75,29.950001,30.25,28.614309000000002,217844.0
2015-03-19,30.5,30.700001,29.15,29.549999,27.95216,237880.0
2015-03-20,29.6,29.6,28.0,28.25,26.722454,283868.0
2015-03-23,28.9,28.9,26.75,26.799999,25.350859,340288.0
2015-03-24,26.950001,27.35,26.5,26.700001,25.256268,157720.0
2015-03-25,26.85,27.0,25.700001,25.9,24.499523,324757.0
2015-03-26,25.799999,26.4,25.5,25.85,24.452227,281714.0
2015-03-27,26.1,26.15,25.450001,25.799999,24.40493,379606.0
2015-03-30,26.1,27.200001,26.1,26.85,25.398157,296934.0
2015-03-31,27.049999,28.700001,27.0,28.1,26.580565999999997,647022.0
2015-04-01,29.549999,30.25,29.299999,29.9,28.283236,1451229.0
2015-04-06,29.9,30.15,28.75,29.200001,27.621088,248325.0
2015-04-07,29.200001,34.900002,28.75,34.349998,32.492615,2577334.0
2015-04-08,33.5,33.900002,31.75,32.299999,30.553463,1504444.0
2015-04-09,32.299999,33.450001,31.5,32.5,30.742645,860831.0
2015-04-10,32.5,33.5,32.0,32.700001,30.931833,536982.0
2015-04-13,32.900002,33.299999,32.450001,32.650002,30.884536999999998,286878.0
2015-04-15,32.650002,32.650002,31.25,31.450001,29.749423999999998,410610.0
2015-04-16,31.75,31.9,30.5,31.65,29.938608000000002,443493.0
2015-04-17,31.65,31.799999,30.700001,30.9,29.229162,235140.0
2015-04-20,30.799999,31.450001,30.0,30.25,28.614309000000002,232313.0
2015-04-21,30.1,30.4,29.65,29.799999,28.188643,168866.0
2015-04-22,30.35,30.450001,29.200001,29.85,28.235939000000002,237096.0
2015-04-23,30.200001,30.4,29.6,29.75,28.141346000000002,152220.0
2015-04-24,29.799999,30.0,28.75,29.049999,27.479196999999996,121052.0
2015-04-27,29.1,29.1,28.0,28.15,26.627861,179590.0
2015-04-28,28.549999,28.6,27.85,28.450001,26.911640000000002,150637.0
2015-04-29,28.5,28.799999,28.1,28.4,26.864344,142254.0
2015-04-30,28.65,28.799999,28.25,28.549999,27.006231,181489.0
2015-05-04,28.549999,29.5,28.549999,29.35,27.762976000000002,144539.0
2015-05-05,29.4,29.4,28.700001,28.950001,27.384604,158882.0
2015-05-06,29.0,29.1,27.6,27.9,26.391379999999998,183589.0
2015-05-07,27.799999,27.9,27.0,27.549999,26.060307,154463.0
2015-05-08,27.85,28.799999,27.6,28.299999,26.769751,297303.0
2015-05-11,28.4,29.049999,27.9,28.700001,27.148123,121911.0
2015-05-12,28.5,28.5,27.799999,28.200001,26.675159000000004,144352.0
2015-05-13,28.200001,30.75,28.1,29.35,27.762976000000002,850092.0
2015-05-14,29.85,29.85,28.6,29.0,27.4319,214142.0
2015-05-15,29.049999,30.200001,28.700001,29.799999,28.188643,272002.0
2015-05-18,29.549999,30.799999,29.549999,30.6,28.945384999999998,294912.0
2015-05-19,30.35,31.0,30.25,30.9,29.229162,240027.0
2015-05-20,30.950001,31.299999,30.5,30.799999,29.134566999999997,135170.0
2015-05-21,31.0,31.299999,30.6,31.1,29.41835,180393.0
2015-05-22,30.700001,31.200001,30.4,30.9,29.229162,157233.0
2015-05-25,30.549999,31.25,30.5,31.049999,29.371052000000002,137741.0
2015-05-26,31.1,31.25,30.700001,31.0,29.323755,90930.0
2015-05-27,30.950001,31.5,28.4,28.700001,27.148123,855919.0
2015-05-28,28.200001,28.4,27.6,27.85,26.344084000000002,191340.0
2015-05-29,27.65,27.700001,27.35,27.5,26.01301,174376.0
2015-06-01,27.799999,27.799999,26.9,27.1,25.634638,200178.0
2015-06-02,27.35,27.35,26.4,26.700001,25.256268,149930.0
2015-06-03,26.75,26.75,23.65,25.25,23.884672,229280.0
2015-06-04,25.5,25.5,23.549999,24.65,23.317114,244740.0
2015-06-05,24.0,24.65,24.0,24.15,22.844151,411814.0
2015-06-08,24.4,24.4,23.6,23.799999,22.513077,85174.0
2015-06-09,24.1,25.0,23.6,24.799999,23.459003,232752.0
2015-06-10,25.25,27.85,24.65,26.049999,24.641413,571307.0
2015-06-11,25.700001,26.200001,25.0,25.5,24.121153,227253.0
2015-06-12,25.25,25.5,25.049999,25.25,23.884672,58637.0
2015-06-15,26.0,26.0,25.549999,25.65,24.263044,60006.0
2015-06-16,25.6,26.4,25.549999,25.85,24.452227,139935.0
2015-06-17,26.0,26.5,25.9,26.049999,24.641413,137462.0
2015-06-18,26.450001,26.450001,26.0,26.1,24.688710999999998,86021.0
2015-06-19,26.35,26.799999,26.299999,26.5,25.067080999999998,110626.0
2015-06-22,26.700001,27.5,26.549999,26.950001,25.49275,117588.0
2015-06-23,27.5,27.6,27.0,27.1,25.634638,107889.0
2015-06-24,27.35,27.799999,27.1,27.200001,25.729231,94195.0
2015-06-25,27.049999,28.4,27.049999,27.549999,26.060307,214333.0
2015-06-26,27.549999,28.0,27.200001,27.299999,25.823822,83217.0
2015-06-29,26.950001,26.950001,26.0,26.25,24.830599,51558.0
2015-06-30,26.5,26.950001,25.950001,26.299999,24.877895000000002,113124.0
2015-07-01,26.950001,27.5,26.549999,27.25,25.776526999999998,127421.0
2015-07-02,27.299999,29.299999,27.1,29.049999,27.479196999999996,706432.0
2015-07-03,29.950001,30.1,28.200001,28.549999,27.006231,892487.0
2015-07-06,28.700001,29.200001,27.6,28.5,26.958934999999997,236386.0
2015-07-07,28.85,28.950001,28.35,28.5,26.958934999999997,101838.0
2015-07-08,28.049999,29.4,27.700001,27.950001,26.438677000000002,159086.0
2015-07-09,28.299999,28.5,27.9,27.950001,26.438677000000002,96113.0
2015-07-10,28.5,28.5,27.65,27.9,26.391379999999998,100020.0
2015-07-13,28.799999,30.35,27.700001,29.5,27.904863,1618218.0
2015-07-14,29.75,29.950001,28.75,29.1,27.526493,202371.0
2015-07-15,29.450001,29.6,28.299999,28.5,26.958934999999997,138735.0
2015-07-16,29.1,29.299999,28.4,28.799999,27.242715999999998,150353.0
2015-07-17,29.0,29.4,28.700001,28.9,27.337304999999997,170949.0
2015-07-20,29.200001,29.75,28.549999,28.75,27.195419,190862.0
2015-07-21,28.700001,29.15,27.85,28.1,26.580565999999997,99979.0
2015-07-22,27.85,28.5,27.799999,28.0,26.485972999999998,100672.0
2015-07-23,28.049999,28.9,28.0,28.1,26.580565999999997,109708.0
2015-07-24,28.1,28.450001,27.65,27.75,26.249489,94820.0
2015-07-27,28.1,28.1,27.25,27.35,25.87112,78434.0
2015-07-28,27.299999,27.75,26.299999,26.450001,25.019785,118679.0
2015-07-29,27.0,27.5,26.65,27.25,25.776526999999998,95636.0
2015-07-30,27.1,27.549999,26.799999,27.049999,25.587339,66255.0
2015-07-31,27.200001,28.0,27.200001,27.549999,26.060307,126742.0
2015-08-03,27.299999,27.9,27.299999,27.549999,26.060307,95819.0
2015-08-04,27.85,28.200001,27.5,28.0,26.485972999999998,174874.0
2015-08-05,28.0,28.450001,27.549999,27.75,26.249489,178817.0
2015-08-06,27.799999,29.6,27.75,28.549999,27.006231,481633.0
2015-08-07,28.549999,28.700001,27.799999,27.950001,26.438677000000002,122429.0
2015-08-10,28.15,29.5,27.9,28.450001,26.911640000000002,423474.0
